source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,1,15,4.370193722368317,42.677673070003095,13.966666666666665,1.1666666666666665,136.39322916666666,11.393229166666664,0,0,0,1.3639322916666666e-07,1.1393229166666665e-08,15.0,1.4305114746093746e-15,1.5597038289769744e-15,5.768062301002473e-09,1.0444063053891294e-08,2.022638879770269e-09,2.8076218770050263e-09,2.1338836535001545e-08,3.78221029903068e-08,3.707210299970893e-08,1.3220811664679073e-08,3.7186418083362495e-08,1.1440246734445752e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,2,4256,73.6132291262437,718.8791906859736,57.46851503759398,32.943374060150376,561.2159671640037,321.712637306156,0,0,0,5.612159671640037e-07,3.21712637306156e-07,4256.0,4.058837890624999e-13,4.2510517601500447e-13,9.932727734828093e-09,5.0726485443682375e-08,1.3707983462016104e-09,7.938053427114637e-09,3.5943959534298673e-07,6.370900949335972e-07,4.362299109114349e-07,3.220297435798262e-07,4.5511586928449016e-07,2.0172634776769455e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,3,1518,43.963366896860585,429.32975485215417,141.48616600790513,19.02569169960474,1381.7008399209485,185.79777050395253,0,0,1,1.3817008399209484e-06,1.8579777050395254e-07,1518.0,1.4476776123046872e-13,1.474343852216634e-13,8.030618435145672e-09,1.8038375820414053e-08,1.3854634929353442e-09,4.22617803709257e-09,2.1466487742607705e-07,3.804835886480108e-07,4.6460349386312153e-07,1.067017492338082e-07,4.634821435718492e-07,9.380126411607144e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,4,724,30.361578193306386,296.4997870440077,235.31491712707182,13.328729281767956,2297.997237569061,130.1633718922652,0,0,0,2.2979972375690608e-06,1.301633718922652e-07,724.0,6.904602050781249e-14,7.110889729066644e-14,7.00978689951049e-09,3.1646752216515934e-08,1.3656555494665205e-09,6.758777105330941e-09,1.4824989352200383e-07,2.6276609466940837e-07,2.2740745228994985e-07,1.465008446847921e-07,2.7818598602518867e-07,7.324140314216951e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,5,27,5.863230142835039,57.258106863623425,278.7592592592592,1.1666666666666665,2722.258391203703,11.393229166666664,0,0,0,2.722258391203703e-06,1.1393229166666665e-08,27.0,2.5749206542968744e-15,2.6534646429112903e-15,4.2456311159950834e-09,6.8013595760463695e-09,1.7629912067019475e-09,1.5454692278099536e-09,2.8629053431811714e-08,5.0743676002994444e-08,6.007297858315645e-08,1.460976092486421e-08,6.366484269030896e-08,1.4648437499999999e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,6,2,1.5957691216057308,15.583682828180965,297.99999999999994,0.5,2910.1562499999995,4.8828125,0,0,0,2.9101562499999996e-06,4.8828124999999996e-09,2.0,1.9073486328124996e-16,1.9242561914157737e-16,1.4532451777491578e-09,1.4532451777491578e-09,1.4532451777491578e-09,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385715e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,7,1121,37.77964438223469,368.94183967026066,332.0093666369313,13.952274754683316,3242.278971063782,136.25268315120425,0,0,1,3.242278971063782e-06,1.3625268315120426e-07,1121.0,1.069068908691406e-13,1.3597535668613503e-13,2.8125506833997856e-08,9.77086211390705e-08,1.3717426780186377e-09,2.673668683048572e-08,1.8447091983513032e-07,3.269661922418595e-07,2.473242220431956e-07,1.6326155111752988e-07,2.860022971044229e-07,1.0782417635926123e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,8,1,1.1283791670955126,11.019327803667116,368.49999999999994,0.5,3598.6328124999995,4.8828125,0,0,0,3.5986328124999995e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,1.3086078567588234e-16,5.076530449969897e-09,5.076530449969897e-09,5.076530449969897e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,9,1624,45.472420439755616,444.0666058569884,377.6194581280788,38.2155172413793,3687.6900207820195,373.19841056034477,1,0,0,3.6876900207820194e-06,3.731984105603448e-07,1624.0,1.5487670898437497e-13,1.8183364685683053e-13,2.152651290486568e-08,7.313638386884168e-08,1.399101652181985e-09,1.533482905954626e-08,2.220333029284942e-07,3.9354378280488053e-07,4.4689454384891645e-07,1.328247217872414e-07,4.3437523524591667e-07,1.1744944148915502e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,10,344,20.928315827817965,204.3780842560348,486.35755813953483,8.069767441860465,4749.585528706395,78.80632267441861,0,0,0,4.749585528706395e-06,7.88063226744186e-08,344.0,3.280639648437499e-14,3.3261661206189566e-14,5.250176206324515e-09,1.2408298989881107e-08,1.4480776533667276e-09,2.7272820563607608e-09,1.021890421280174e-07,1.8112536124015045e-07,2.3413764434213146e-07,4.781049106522511e-08,2.2761454046904118e-07,4.882758616286391e-08
