source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID085_LOC_RC020011-5.00x5.00-Z Height_Forward-251002-CRO_f90ac371.tiff,1,171407,467.16396548152136,4562.148100405482,245.64703600203023,304.03325710151853,2398.8968359573264,2969.074776382017,0,0,0,2.3988968359573265e-06,2.969074776382017e-06,171407.0,1.6346645355224606e-11,1.665310332882677e-11,2.1764303657649936e-09,1.2400128658399235e-07,-3.7167185277881606e-10,5.595567967692007e-09,2.281074050202741e-06,4.04309848448249e-06,2.6704340333113566e-06,2.384007771628463e-06,3.5355340595877924e-06,8.649470086563383e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID085_LOC_RC020011-5.00x5.00-Z Height_Forward-251002-CRO_f90ac371.tiff,2,1093,37.3048364477789,364.3050434353408,185.5210430009149,3.7159194876486725,1811.7289355558094,36.28827624656907,0,0,1,1.8117289355558095e-06,3.628827624656907e-08,1093.0,1.042366027832031e-13,1.061180771719962e-13,6.439306712565145e-09,1.458725079758142e-08,-3.1741428023035045e-10,3.93374245957614e-09,1.8215252171767038e-07,3.228569385706355e-07,7.779437411825616e-07,4.3924217760479014e-08,7.763826377799263e-07,3.9061715642169513e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID085_LOC_RC020011-5.00x5.00-Z Height_Forward-251002-CRO_f90ac371.tiff,3,8,3.1915382432114616,31.16736565636193,296.74999999999994,1.3749999999999998,2897.9492187499995,13.427734374999998,0,0,0,2.8979492187499997e-06,1.3427734374999999e-08,8.0,7.629394531249998e-16,9.250772122802618e-16,1.6517932002439297e-09,2.039930701730872e-09,3.2903201244165613e-10,5.953568060701991e-10,1.5583682828180962e-08,2.762135864009951e-08,2.220375392085166e-08,1.1453759358232394e-08,2.4414156016785215e-08,9.765340963137377e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID085_LOC_RC020011-5.00x5.00-Z Height_Forward-251002-CRO_f90ac371.tiff,4,1,1.1283791670955126,11.019327803667116,372.49999999999994,0.5,3637.6953124999995,4.8828125,0,0,0,3.6376953124999996e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.607582497920235e-17,0.0,0.0,0.0,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID085_LOC_RC020011-5.00x5.00-Z Height_Forward-251002-CRO_f90ac371.tiff,5,7,2.985410660720923,29.154400983602766,398.35714285714283,2.357142857142857,3890.2064732142853,23.018973214285715,0,0,0,3.8902064732142855e-06,2.3018973214285714e-08,7.0,6.675720214843749e-16,8.150829268726692e-16,1.928279353169897e-09,3.6999900976581113e-09,5.255531719222978e-10,1.3034339955779997e-09,1.4577200491801383e-08,2.583741514711514e-08,1.9374266015938666e-08,1.233100999717531e-08,2.18368812625583e-08,9.765340963137376e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID085_LOC_RC020011-5.00x5.00-Z Height_Forward-251002-CRO_f90ac371.tiff,6,5451,83.30923573260874,813.5667552012573,334.14868831407074,27.276187855439364,3263.170784317097,266.36902202577505,0,0,0,3.2631707843170972e-06,2.663690220257751e-07,5451.0,5.198478698730468e-13,5.42991936440268e-13,6.909643263102008e-09,2.2877461228086522e-08,-3.70911645499343e-10,4.7212196986515925e-09,4.067833776006286e-07,7.210047641125866e-07,9.072983091975714e-07,2.083782594513069e-07,9.564097265176868e-07,1.2448389205957722e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID085_LOC_RC020011-5.00x5.00-Z Height_Forward-251002-CRO_f90ac371.tiff,7,870,33.282403818227905,325.0234747873819,481.6747126436781,8.502298850574713,4703.854615660919,83.03026221264368,0,0,0,4.703854615660919e-06,8.303026221264367e-08,870.0,8.296966552734374e-14,8.887298241545368e-14,1.445162032384622e-08,6.224092207122241e-08,-1.8654350954175867e-10,1.0914577031841088e-08,1.6251173739369095e-07,2.8804455476079343e-07,3.2404084059069146e-07,9.511926238150755e-08,3.1159006118385815e-07,7.820077052060973e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID085_LOC_RC020011-5.00x5.00-Z Height_Forward-251002-CRO_f90ac371.tiff,8,1,1.1283791670955126,11.019327803667116,42.5,2.4999999999999996,415.0390625,24.414062499999996,0,0,0,4.150390625e-07,2.4414062499999998e-08,1.0,9.536743164062498e-17,1.0208849621781695e-16,2.531455334335757e-10,2.531455334335757e-10,2.531455334335757e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID085_LOC_RC020011-5.00x5.00-Z Height_Forward-251002-CRO_f90ac371.tiff,9,82,10.217907939900583,99.78425722559163,440.79268292682923,11.390243902439025,4304.616044207317,111.2328506097561,0,0,0,4.304616044207317e-06,1.112328506097561e-07,82.0,7.820129394531249e-15,8.012741560700455e-15,1.3889733977103788e-09,3.926558433934652e-09,-2.196485864554685e-10,1.3161756483069678e-09,4.98921286127958e-08,8.84314954896232e-08,6.280025903533363e-08,4.605246976748e-08,7.498344140725757e-08,2.90841887949086e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID085_LOC_RC020011-5.00x5.00-Z Height_Forward-251002-CRO_f90ac371.tiff,10,10,3.5682482323055424,34.84617414360881,331.19999999999993,6.2,3234.3749999999995,60.546875,0,0,0,3.2343749999999994e-06,6.0546875e-08,10.0,9.536743164062499e-16,1.1161651582514346e-15,1.5114039920787516e-09,2.9057596365865914e-09,-7.012356661085423e-11,1.0860801317051288e-09,1.7423087071804404e-08,3.0881617775081825e-08,2.3759443284622602e-08,1.4008999353579783e-08,2.762185622429769e-08,1.037524421248005e-08
