source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID089_LOC_RC021001-5.00x5.00-Z Height_Forward-251002-CRO_16ac54d5.tiff,1,681,29.44615645486938,287.5601216295838,12.06828193832599,19.69236417033774,117.85431580396475,192.30824385095448,0,0,0,1.1785431580396476e-07,1.9230824385095448e-07,681.0,6.494522094726561e-14,6.611371888980108e-14,7.003773996660371e-09,1.9664790978464433e-08,6.753641042305752e-10,4.5364215870178234e-09,1.437800608147919e-07,2.5484352247460716e-07,2.3587652671032952e-07,9.587406239939367e-08,2.495522499265255e-07,8.300680035333232e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID089_LOC_RC021001-5.00x5.00-Z Height_Forward-251002-CRO_16ac54d5.tiff,2,4499,75.68556475156605,739.1168432770122,92.25350077795063,36.611580351189154,900.9130935346742,357.53496436708156,0,0,0,9.009130935346742e-07,3.5753496436708153e-07,4499.0,4.290580749511718e-13,4.32789743096569e-13,3.755319903179516e-09,1.4389814715687729e-08,6.599922293403625e-10,2.755946629612369e-09,3.6955842163850606e-07,6.550252475677344e-07,5.12090374434074e-07,3.71040011713735e-07,6.826870497120321e-07,1.0691682213508207e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID089_LOC_RC021001-5.00x5.00-Z Height_Forward-251002-CRO_16ac54d5.tiff,3,82,10.217907939900583,99.78425722559163,162.18292682926827,3.48780487804878,1583.817644817073,34.06059451219512,0,0,0,1.583817644817073e-06,3.406059451219512e-08,82.0,7.820129394531249e-15,7.876741735607346e-15,2.4246201945165208e-09,7.225925243004252e-09,6.609127571865911e-10,1.6815801668512256e-09,4.98921286127958e-08,8.84314954896232e-08,6.87450729815202e-08,3.7599306717559994e-08,7.888444235357962e-08,3.417890314216951e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID089_LOC_RC021001-5.00x5.00-Z Height_Forward-251002-CRO_16ac54d5.tiff,4,407,22.764193258431348,222.30657478936863,179.29361179361177,17.65724815724816,1750.91417767199,172.43406403562653,0,0,0,1.75091417767199e-06,1.7243406403562654e-07,407.0,3.881454467773437e-14,3.9093648056748394e-14,3.0294999200612353e-09,7.761439109345055e-09,6.614905723054928e-10,1.8358652830119177e-09,1.111532873946843e-07,1.9701407228351576e-07,1.6918933926353101e-07,9.12583446244432e-08,1.8653619573160352e-07,6.237632569438521e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID089_LOC_RC021001-5.00x5.00-Z Height_Forward-251002-CRO_16ac54d5.tiff,5,7,2.985410660720923,29.154400983602766,191.49999999999997,1.2142857142857144,1870.1171874999998,11.858258928571429,0,0,0,1.8701171874999998e-06,1.1858258928571428e-08,7.0,6.675720214843749e-16,6.706340459186992e-16,1.3064902641096e-09,1.579956909684094e-09,9.213318366865673e-10,3.1582687592059326e-10,1.4577200491801383e-08,2.583741514711514e-08,1.5433050861521587e-08,1.4438975288980882e-08,1.855754272622298e-08,1.0374839927411348e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID089_LOC_RC021001-5.00x5.00-Z Height_Forward-251002-CRO_16ac54d5.tiff,6,86,10.464157913908982,102.1890421280174,229.79069767441857,3.8604651162790704,2244.049781976744,37.699854651162795,0,0,0,2.244049781976744e-06,3.769985465116279e-08,86.0,8.201599121093748e-15,8.280052288336269e-15,2.466071775679832e-09,6.367541263512794e-09,7.673735937827148e-10,1.2291176401489587e-09,5.10945210640087e-08,9.056268062007523e-08,7.953327021300634e-08,4.2577516208694886e-08,9.450170621290288e-08,2.8602281672959905e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID089_LOC_RC021001-5.00x5.00-Z Height_Forward-251002-CRO_16ac54d5.tiff,7,1,1.1283791670955126,11.019327803667116,242.49999999999994,0.5,2368.1640624999995,4.8828125,0,0,0,2.3681640624999996e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.654688011410628e-17,7.18266427702119e-10,7.18266427702119e-10,7.18266427702119e-10,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID089_LOC_RC021001-5.00x5.00-Z Height_Forward-251002-CRO_16ac54d5.tiff,8,817,32.252700786889584,314.9677811219686,292.6272949816401,18.907588739290084,2857.688427555079,184.64442128212974,0,0,0,2.857688427555079e-06,1.8464442128212975e-07,817.0,7.791519165039061e-14,7.909379907499444e-14,3.87774928364822e-09,2.2085031140472863e-08,6.698993134305227e-10,3.08046541663818e-09,1.574838905609843e-07,2.791329282803994e-07,3.108044510382951e-07,1.0537633187564854e-07,3.92855962115458e-07,7.317836855974331e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID089_LOC_RC021001-5.00x5.00-Z Height_Forward-251002-CRO_16ac54d5.tiff,9,3,1.9544100476116797,19.08603562120781,304.49999999999994,0.5,2973.6328124999995,4.8828125,0,0,0,2.9736328124999995e-06,4.8828124999999996e-09,3.0,2.8610229492187495e-16,2.9313308054242833e-16,1.0929522903693815e-09,1.2466519043245708e-09,9.93026376697114e-10,1.1030317371579294e-10,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.544080888754115e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID089_LOC_RC021001-5.00x5.00-Z Height_Forward-251002-CRO_16ac54d5.tiff,10,4,2.256758334191025,22.03865560733423,313.99999999999994,0.5,3066.4062499999995,4.8828125,0,0,0,3.0664062499999996e-06,4.8828124999999996e-09,4.0,3.814697265624999e-16,3.9178367333215143e-16,1.0954397512552429e-09,1.3196871807600676e-09,7.983973564387458e-10,1.9504141167724043e-10,1.1019327803667115e-08,1.9531249999999998e-08,2.2294218480036925e-08,5.5735546200092305e-09,2.013235168758628e-08,4.8779296875e-09
