source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,1,11,3.742410318509555,36.54697576669488,6.863636363636363,0.7727272727272727,67.02769886363636,7.5461647727272725,0,0,0,6.702769886363635e-08,7.546164772727273e-09,11.0,1.0490417480468747e-15,1.1093895576901888e-15,4.224402919361044e-09,7.010264535376028e-09,2.043707294233078e-09,1.5958866118781e-09,1.8273487883347434e-08,3.238891396831445e-08,3.773524513474776e-08,9.803622069794688e-09,3.9367663643958804e-08,9.76539204158748e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,2,1,1.1283791670955126,11.019327803667116,16.5,0.5,161.1328125,4.8828125,0,0,0,1.611328125e-07,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.98061635037666e-17,2.167205066501084e-09,2.167205066501084e-09,2.167205066501084e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024887e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,3,736,30.612159429303247,298.94686942678953,95.80027173913042,6.516304347826086,935.5495287024455,63.635784646739125,0,0,0,9.355495287024456e-07,6.363578464673913e-08,736.0,7.019042968749998e-14,8.325215138207334e-14,2.2604948505294344e-08,7.777364625517102e-08,1.6741465016387914e-09,2.2941295027851553e-08,1.4947343471339475e-07,2.6493476496583075e-07,3.65763075677162e-07,7.550255415400469e-08,3.676054032185883e-07,6.922268446999664e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,4,6219,88.98469940786437,868.9912051549255,167.95972021225273,46.115533043897734,1640.2316426977807,450.3470023818138,0,0,0,1.6402316426977807e-06,4.503470023818138e-07,6219.0,5.930900573730467e-13,6.491637988136917e-13,1.7038245983747707e-08,8.205284480229581e-08,1.6699112576900633e-09,1.5513891818217268e-08,4.344956025774627e-07,7.701234039899363e-07,7.021656177335154e-07,4.4612154724051e-07,1.0645735364546723e-06,1.9281443849104577e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,5,444,23.77642441290137,232.19164465723995,452.6013513513514,5.281531531531532,4419.935071790541,51.577456362612615,0,0,0,4.419935071790541e-06,5.1577456362612613e-08,444.0,4.234313964843749e-14,4.268877937790812e-14,4.421830549227089e-09,1.0285035870160027e-08,1.6696978455635308e-09,2.2507648838165977e-09,1.1609582232861996e-07,2.0577448736040502e-07,2.723229124123802e-07,5.5822508049901184e-08,2.755689589182755e-07,4.395573129511198e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,6,234,17.26088217525478,168.56330249272244,495.8931623931624,4.188034188034188,4842.706663995727,40.89877136752137,0,0,0,4.8427066639957266e-06,4.0898771367521366e-08,234.0,2.2315979003906245e-14,2.25425110785939e-14,4.5553623579469365e-09,9.634700674072224e-09,1.6881162393386939e-09,1.911238065232697e-09,8.42816512463612e-08,1.493853373122886e-07,1.6512789420172585e-07,4.6248531812086954e-08,1.5523035775734525e-07,4.678121356840871e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,7,37,6.863662517577698,67.0279542732197,422.44594594594594,13.608108108108109,4125.448690878378,132.89168074324326,0,0,0,4.125448690878378e-06,1.3289168074324325e-07,37.0,3.5285949707031243e-15,3.547765171435519e-15,2.588686815487401e-09,3.772028416152301e-09,1.7531870861578812e-09,5.89523601919321e-10,3.351397713660985e-08,5.9401977834943545e-08,4.607535654023191e-08,2.463826880970587e-08,4.809958017326213e-08,2.4413118224754534e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,8,8639,104.87857944769786,1024.2048774189243,324.75327005440437,65.38910753559439,3171.418652875043,638.5655032772889,0,0,0,3.1714186528750428e-06,6.38565503277289e-07,8639.0,8.238792419433592e-13,9.055731596625047e-13,1.618330928489162e-08,8.53584741219673e-08,1.6700422483526355e-09,1.5675422760752496e-08,5.121024387094622e-07,9.076779395486921e-07,1.1983563111893585e-06,3.423384819349227e-07,1.4598942508810846e-06,1.2599065143051438e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,9,107,11.67204486311899,113.98481311639638,469.54672897196264,24.64018691588785,4585.417275116823,240.62682535046727,0,0,0,4.585417275116822e-06,2.4062682535046727e-07,107.0,1.0204315185546873e-14,1.026300907911418e-14,3.2851414362475505e-09,5.552730208405571e-09,1.7115317593387015e-09,1.0434923823912806e-09,5.6992406558198195e-08,1.0101641047645116e-07,7.87462749918877e-08,4.29452072958415e-08,7.900680170140791e-08,4.004317312119344e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,10,159,14.228319915326999,138.94843667311522,46.4937106918239,32.02201257861635,454.04014347484275,312.7149665880503,0,0,0,4.5404014347484275e-07,3.127149665880503e-07,159.0,1.5163421630859372e-14,1.5659067828171933e-14,5.021984002366491e-09,1.356301023966208e-08,1.6835019460756033e-09,3.27716448099771e-09,6.94742183365576e-08,1.2313984582928212e-07,1.2722309832934103e-07,4.2324200954847476e-08,1.396575658065127e-07,3.17988080755076e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,11,34,6.579524642479541,64.25317033671426,77.14705882352939,25.147058823529406,753.3892463235293,245.57674632352936,0,0,0,7.533892463235293e-07,2.455767463235294e-07,34.0,3.2424926757812495e-15,3.4528014022552344e-15,5.585614458555391e-09,9.864910172628577e-09,1.7804876727036403e-09,2.3684511029588345e-09,3.212658516835713e-08,5.694288959809863e-08,3.649385886683672e-08,2.9050952809346987e-08,4.0201074435355983e-08,2.4661627600978545e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,12,47,7.735777827895049,75.54470535053758,453.47872340425533,24.86170212765957,4428.503158244681,242.79005984042547,0,0,0,4.4285031582446806e-06,2.427900598404255e-07,47.0,4.482269287109374e-15,4.514009530333562e-15,3.1718507677720443e-09,5.1647761072987076e-09,1.6698184583365316e-09,9.654394068274941e-10,3.7772352675268796e-08,6.694975195704144e-08,5.167373222468677e-08,2.8446551429868273e-08,5.567387202179646e-08,2.5303291353744618e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,13,49,7.898654169668588,77.1352946256698,310.49999999999994,26.928571428571427,3032.2265624999995,262.97433035714283,0,0,0,3.0322265624999997e-06,2.6297433035714283e-07,49.0,4.673004150390624e-15,4.7110572888528954e-15,2.9970396580491946e-09,4.894206001272664e-09,1.6783912147844332e-09,9.222443317112366e-10,3.85676473128349e-08,6.8359375e-08,5.156178239240009e-08,2.952725307906839e-08,5.6943121696322543e-08,2.7712099968604475e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,14,18,4.787307364817192,46.751048484542885,353.66666666666663,27.666666666666664,3453.7760416666665,270.18229166666663,0,0,0,3.4537760416666667e-06,2.7018229166666665e-07,18.0,1.7166137695312496e-15,1.7179133605538243e-15,1.884002562708659e-09,2.0835805914661986e-09,1.6827031829593587e-09,1.3165446741818933e-10,2.3375524242271445e-08,4.1432037960149266e-08,2.474223087781924e-08,2.2982916370711154e-08,2.8472531925464154e-08,1.7203932683133774e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,15,1,1.1283791670955126,11.019327803667116,502.5,25.499999999999996,4907.2265625,249.02343749999997,0,0,0,4.9072265625e-06,2.4902343749999996e-07,1.0,9.536743164062498e-17,9.546449799970955e-17,1.691925278305227e-09,1.691925278305227e-09,1.691925278305227e-09,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660025346e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,16,3,1.9544100476116797,19.08603562120781,507.8333333333332,25.83333333333333,4959.309895833332,252.2786458333333,0,0,0,4.959309895833332e-06,2.522786458333333e-07,3.0,2.8610229492187495e-16,2.8697721988407565e-16,1.7250529745072242e-09,1.7250529745072242e-09,1.7250529745072242e-09,0.0,9.543017810603905e-09,1.6914558667664815e-08,1.2065052850266379e-08,8.242000169692007e-09,1.3810691451941921e-08,5.7175417222762235e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,17,29,6.076507779746499,59.340896286586904,290.49999999999994,29.43103448275862,2836.9140624999995,287.41244612068965,0,0,0,2.8369140624999996e-06,2.8741244612068963e-07,29.0,2.7656555175781245e-15,2.7758799107030846e-15,1.9630750447295396e-09,2.6733561652292954e-09,1.6729438176357386e-09,2.4069923718360597e-10,2.9670448143293448e-08,5.258950006967289e-08,4.387109817956164e-08,2.1039436119796856e-08,4.606948278538152e-08,1.7953265597860783e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,18,34,6.579524642479541,64.25317033671426,64.64705882352939,32.97058823529411,631.3189338235293,321.97840073529403,0,0,0,6.313189338235293e-07,3.2197840073529405e-07,34.0,3.2424926757812495e-15,3.306419604641783e-15,3.479309758344376e-09,5.4525098531733884e-09,1.8007681366878338e-09,1.1542435829876307e-09,3.212658516835713e-08,5.694288959809863e-08,5.125044810829631e-08,2.0729721129772573e-08,5.524316717995762e-08,1.7953265597860783e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,19,27,5.863230142835039,57.258106863623425,446.4259259259259,31.12962962962963,4359.62818287037,304.00028935185185,0,0,0,4.35962818287037e-06,3.0400028935185183e-07,27.0,2.5749206542968744e-15,2.58862380923694e-15,2.5063788683627282e-09,3.364645308112139e-09,1.7037476190668495e-09,5.539703284385436e-10,2.8629053431811714e-08,5.0743676002994444e-08,3.5093148769430895e-08,2.3908773561255747e-08,3.7188115574378086e-08,2.0751148875957973e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,20,509,25.45739437315213,248.60736692531378,484.8064833005893,40.95383104125736,4734.438313482317,399.93975626227893,0,0,0,4.734438313482318e-06,3.999397562622789e-07,509.0,4.854202270507811e-14,4.943579344454357e-14,6.908551980465664e-09,1.531318158011936e-08,1.6710695652207457e-09,3.2656995844784297e-09,1.243036834626569e-07,2.2032254243512648e-07,1.6841638115509827e-07,9.746465259236235e-08,1.7006080754769787e-07,7.52765139115814e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,21,2,1.5957691216057308,15.583682828180965,439.5,30.999999999999993,4291.9921875,302.73437499999994,0,0,0,4.2919921875e-06,3.0273437499999995e-07,2.0,1.9073486328124996e-16,1.9078805513335207e-16,1.7477011393557373e-09,1.8112057887637158e-09,1.684196489947759e-09,6.350464940797843e-11,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385626e-08,4.8779296875e-09
