source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID092_LOC_RC021006-5.00x5.00-Z Height_Forward-251002-CRO_a15843da.tiff,1,6444,90.58010612862732,884.5713489123762,68.6286468032278,46.210893854748605,670.2016289377715,451.2782603002793,0,0,0,6.702016289377715e-07,4.512782603002793e-07,6444.0,6.145477294921873e-13,6.286062727836295e-13,8.204648964272983e-09,3.692800816950195e-08,4.0124393803307113e-10,7.401537507973302e-09,4.4228567445618807e-07,7.839309468902139e-07,5.622388917208686e-07,4.3765046353420355e-07,7.631003130882478e-07,1.4277630232378498e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID092_LOC_RC021006-5.00x5.00-Z Height_Forward-251002-CRO_a15843da.tiff,2,13,4.068428945128219,39.73075141726777,281.65384615384613,0.8076923076923077,2750.5258413461534,7.8876201923076925,0,0,0,2.7505258413461534e-06,7.887620192307692e-09,13.0,1.2397766113281247e-15,1.2476549559476396e-15,1.4123659717783752e-09,2.4262397379372127e-09,4.979926469188985e-10,5.898552575923263e-10,1.986537570863388e-08,3.5210461674453015e-08,4.2407795727463966e-08,1.0143533746077184e-08,4.421775045807897e-08,9.765392041587479e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID092_LOC_RC021006-5.00x5.00-Z Height_Forward-251002-CRO_a15843da.tiff,3,9,3.385137501286538,33.057983411001345,300.1666666666667,0.7222222222222221,2931.315104166667,7.0529513888888875,0,0,0,2.931315104166667e-06,7.052951388888888e-09,9.0,8.583068847656248e-16,8.630068749607627e-16,1.2535510924591378e-09,2.058357376168141e-09,5.21278061950377e-10,5.051346642058157e-10,1.6528991705500673e-08,2.9296874999999997e-08,3.4996385037113925e-08,8.896176023221829e-09,3.4528043782838405e-08,9.761992467870109e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID092_LOC_RC021006-5.00x5.00-Z Height_Forward-251002-CRO_a15843da.tiff,4,7,2.985410660720923,29.154400983602766,319.5,0.5,3120.1171875,4.8828125,0,0,0,3.1201171875e-06,4.8828124999999996e-09,7.0,6.675720214843749e-16,6.722284359843924e-16,1.1972907694239084e-09,2.0524539501934998e-09,4.1224797812329324e-10,4.5214993999142103e-10,1.4577200491801383e-08,2.583741514711514e-08,3.901488234006462e-08,5.573554620009241e-09,3.452669830012469e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID092_LOC_RC021006-5.00x5.00-Z Height_Forward-251002-CRO_a15843da.tiff,5,16990,147.07936587111877,1436.3219323351443,371.72201294879335,82.00070629782225,3630.09778270306,800.7881474396704,0,0,0,3.63009778270306e-06,8.007881474396704e-07,16990.0,1.6202926635742183e-12,1.6744002208568572e-12,9.876595659989371e-09,6.18771564608014e-08,4.003199118236449e-10,9.546718315032316e-09,7.18160966167572e-07,1.272907170053739e-06,1.5445574293069093e-06,6.807197484974767e-07,2.0652061500000536e-06,1.7063397394871338e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID092_LOC_RC021006-5.00x5.00-Z Height_Forward-251002-CRO_a15843da.tiff,6,553,26.534910368014152,259.1299840626382,236.02441229656424,29.814647377938517,2304.925901333635,291.1586658001808,0,0,0,2.304925901333635e-06,2.911586658001808e-07,553.0,5.273818969726561e-14,5.295309390488966e-14,2.5998922697493645e-09,5.94966461637576e-09,4.0789004831775445e-10,1.4292092711229137e-09,1.295649920313191e-07,2.29647969068454e-07,2.1954535571553496e-07,8.210521274151792e-08,2.3970926680482927e-07,6.876904685737709e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID092_LOC_RC021006-5.00x5.00-Z Height_Forward-251002-CRO_a15843da.tiff,7,61,8.812923024107548,86.06370140730027,193.27049180327867,17.270491803278688,1887.4071465163934,168.65714651639342,0,0,0,1.8874071465163934e-06,1.6865714651639342e-07,61.0,5.8174133300781234e-15,5.857594075289358e-15,1.7876863558538643e-09,3.1090518684429007e-09,4.4093295227500617e-10,9.21023094128531e-10,4.303185070365013e-08,7.627196949127591e-08,4.577754359249904e-08,4.1269356452495944e-08,5.1023481457099944e-08,3.43812879403513e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID092_LOC_RC021006-5.00x5.00-Z Height_Forward-251002-CRO_a15843da.tiff,8,126,12.666024736934256,123.69164782162359,267.2460317460317,22.317460317460313,2609.824528769841,217.94394841269838,0,0,0,2.609824528769841e-06,2.1794394841269839e-07,126.0,1.2016296386718747e-14,1.2043643618873207e-14,1.5136606927309357e-09,3.1961069519359777e-09,4.0681225764423956e-10,8.349941757161915e-10,6.184582391081179e-08,1.0961886875314281e-07,7.13106904324989e-08,5.440874219124723e-08,7.643243827812147e-08,4.882758616286391e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID092_LOC_RC021006-5.00x5.00-Z Height_Forward-251002-CRO_a15843da.tiff,9,107,11.67204486311899,113.98481311639638,129.60280373831776,28.02336448598131,1265.6523802570093,273.6656688084112,0,0,0,1.2656523802570093e-06,2.736656688084112e-07,107.0,1.0204315185546873e-14,1.0507754150426884e-14,4.802457861486693e-09,1.0245291479842173e-08,4.0746175438497614e-10,2.9283983588209596e-09,5.6992406558198195e-08,1.0101641047645116e-07,6.499937490820637e-08,5.0348360763041317e-08,6.815240252144345e-08,4.502890663462469e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID092_LOC_RC021006-5.00x5.00-Z Height_Forward-251002-CRO_a15843da.tiff,10,95,10.998079684646791,107.40312192037882,311.56315789473683,29.826315789473686,3042.608963815789,291.27261513157896,0,0,0,3.042608963815789e-06,2.9127261513157894e-07,95.0,9.059906005859373e-15,9.084077947472785e-15,1.310589723576399e-09,2.52483992388149e-09,4.432473501422532e-10,6.353008979451718e-10,5.370156096018941e-08,9.518353852352502e-08,8.11194001393707e-08,3.7159415581957506e-08,8.082531261788052e-08,3.11277555607894e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID092_LOC_RC021006-5.00x5.00-Z Height_Forward-251002-CRO_a15843da.tiff,11,248,17.769732893161912,173.5325477847843,285.16129032258067,34.91532258064516,2784.7782258064517,340.96994707661287,0,0,0,2.7847782258064517e-06,3.4096994707661284e-07,248.0,2.3651123046874994e-14,2.371900045180431e-14,1.9778484328186283e-09,4.35894406669615e-09,4.2789768117941205e-10,1.046226706775841e-09,8.676627389239214e-08,1.5378921628929316e-07,1.271732577493333e-07,6.153081786214531e-08,1.328585228886487e-07,5.4858862164752995e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID092_LOC_RC021006-5.00x5.00-Z Height_Forward-251002-CRO_a15843da.tiff,12,67,9.23618154310838,90.19708538191777,481.3507462686567,31.27611940298507,4700.69088152985,305.4308535447761,0,0,0,4.7006908815298505e-06,3.054308535447761e-07,67.0,6.389617919921874e-15,8.814102209957364e-15,1.298078505768444e-08,3.125507273644517e-08,1.695197839736595e-09,8.331574750553762e-09,4.5098542690958887e-08,7.993508566281688e-08,5.425155507672862e-08,3.847384807683833e-08,5.940477914978519e-08,3.6617692650129165e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID092_LOC_RC021006-5.00x5.00-Z Height_Forward-251002-CRO_a15843da.tiff,13,454,24.04268606686374,234.79185612171622,189.77533039647577,41.85022026431718,1853.2747109030836,408.69355726872243,0,0,0,1.8532747109030835e-06,4.0869355726872245e-07,454.0,4.329681396484374e-14,4.4438892644749645e-14,7.847948302574704e-09,1.8329467412341123e-08,4.842077297117134e-10,5.146793599761164e-09,1.173959280608581e-07,2.0807886477209486e-07,1.6492695096796152e-07,8.591730674700544e-08,1.645030737454329e-07,8.59111750627198e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID092_LOC_RC021006-5.00x5.00-Z Height_Forward-251002-CRO_a15843da.tiff,14,30,6.180387232371033,60.35534406612337,323.73333333333335,38.63333333333333,3161.4583333333335,377.2786458333333,0,0,0,3.1614583333333334e-06,3.772786458333333e-07,30.0,2.861022949218749e-15,2.8714477224814024e-15,1.0851804364506169e-09,1.9037943346985134e-09,4.2912997118048994e-10,4.638636684822162e-10,3.017767203306168e-08,5.3488531006363874e-08,3.930314383551274e-08,2.3917432272612287e-08,4.367686156456391e-08,2.1205798683147348e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID092_LOC_RC021006-5.00x5.00-Z Height_Forward-251002-CRO_a15843da.tiff,15,378,21.938198374294355,214.24021849896832,495.69312169312167,48.534391534391524,4840.753141534391,473.9686673280422,0,0,0,4.840753141534391e-06,4.7396866732804224e-07,378.0,3.6048889160156245e-14,4.099759103571165e-14,1.096832278467322e-08,3.4264441521460276e-08,4.1449295668869864e-10,9.064846440955009e-09,1.0712010924948415e-07,1.8986545014866776e-07,1.2218648138938624e-07,9.697836449171674e-08,1.3966601616384837e-07,7.882268093927276e-08
