source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,1,79,10.02925341359355,97.9419278671245,13.512658227848098,1.7151898734177216,131.9595530063291,16.749901107594937,0,0,0,1.319595530063291e-07,1.6749901107594935e-08,79.0,7.534027099609373e-15,7.534266843342622e-15,1.1350746272519993e-10,2.1546410936211254e-10,1.0338663160464402e-11,6.295465418688867e-11,4.897096393356225e-08,8.679877360659754e-08,1.2947879155804428e-07,1.9396631668651167e-08,1.1810038307905493e-07,1.9531249999999998e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,2,4496,75.66032641437184,738.87037514035,182.4995551601423,13.692170818505334,1782.2222183607648,133.71260564946616,0,0,0,1.7822222183607649e-06,1.3371260564946616e-07,4496.0,4.287719726562499e-13,4.28810489154797e-13,1.2300423908904707e-10,4.878612865327465e-10,4.011917624571933e-12,8.557069519063592e-11,3.6943518757017495e-07,6.548068208687581e-07,1.3247813344475392e-06,1.3742493890780403e-07,1.7606074495461246e-06,8.300680035333233e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,3,18,4.787307364817192,46.751048484542885,184.99999999999997,0.5,1806.6406249999998,4.8828125,0,0,0,1.8066406249999999e-06,4.8828124999999996e-09,18.0,1.7166137695312496e-15,1.7166344112263025e-15,3.59827057465513e-11,7.03519554069741e-11,1.5407713362033812e-11,1.7704181620541326e-11,2.3375524242271445e-08,4.1432037960149266e-08,1.0032398316016616e-07,5.57355462000929e-09,8.802615418613256e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,4,841,32.722995845769866,319.5605063063463,416.0695600475624,4.696195005945303,4063.1792973394763,45.8612793549346,0,0,0,4.0631792973394765e-06,4.58612793549346e-08,841.0,8.02040100097656e-14,8.020763872654204e-14,9.33013946747507e-11,2.6435356681638097e-10,4.21201011828268e-12,6.225841878068987e-11,1.5978025315317316e-07,2.8320312499999995e-07,7.442655225997849e-07,4.62239472990242e-08,8.847379873780948e-07,3.41789031421695e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,5,51,8.058239062071396,78.69374084054097,69.81372549019608,3.3235294117647056,681.774662990196,32.4563419117647,0,0,0,6.81774662990196e-07,3.24563419117647e-08,51.0,4.8637390136718736e-15,4.864303963421166e-15,9.848574481898947e-11,2.1245851588115912e-10,1.1895572048122197e-11,5.013899900653986e-11,3.934687042027049e-08,6.974051199748876e-08,1.0950602999095635e-07,1.505019003333008e-08,9.875344645642787e-08,1.4648437499999999e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,6,3,1.9544100476116797,19.08603562120781,332.5,3.5,3247.0703125,34.1796875,0,0,0,3.2470703125e-06,3.41796875e-08,3.0,2.8610229492187495e-16,2.8617931589707475e-16,1.9469678484504846e-11,2.238909465802137e-11,1.3630846137471802e-11,4.128677946798431e-12,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.544080888754115e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,7,2,1.5957691216057308,15.583682828180965,336.99999999999994,3.5,3291.0156249999995,34.1796875,0,0,0,3.2910156249999997e-06,3.41796875e-08,2.0,1.9073486328124996e-16,1.9078967254677992e-16,2.5648027292662176e-11,2.5648027292662176e-11,2.5648027292662176e-11,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385715e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,8,2,1.5957691216057308,15.583682828180965,360.0,3.5,3515.625,34.1796875,0,0,0,3.515625e-06,3.41796875e-08,2.0,1.9073486328124996e-16,1.9075048725377302e-16,3.095746077573114e-11,3.358612574679405e-11,2.8328795804668223e-11,2.628664971062915e-12,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385715e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,9,24,5.527906391541368,53.98346085489617,467.9583333333332,7.374999999999998,4569.905598958332,72.02148437499999,0,0,0,4.5699055989583325e-06,7.202148437499999e-08,24.0,2.2888183593749996e-15,2.289025228435093e-15,6.549308599260468e-11,1.3296218026600817e-10,7.166865074356589e-12,4.4364373059688073e-11,2.6991730427448084e-08,4.784159653873394e-08,7.33579868110785e-08,1.217771776963349e-08,7.46931335367693e-08,1.0374676197882387e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,10,14,4.222008245644752,41.23054927387454,8.999999999999998,7.5,87.89062499999999,73.2421875,0,0,0,8.789062499999999e-08,7.32421875e-08,14.0,1.3351440429687497e-15,1.335352100209152e-15,7.432897787272122e-11,1.9519616518980702e-10,4.8341030641556835e-12,4.882197104913358e-11,2.0615274636937265e-08,3.653962291771427e-08,7.802976468012924e-08,5.573554620009218e-09,6.853353929501074e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,11,2,1.5957691216057308,15.583682828180965,25.999999999999996,7.5,253.90624999999997,73.2421875,0,0,0,2.5390625e-07,7.32421875e-08,2.0,1.9073486328124996e-16,1.9073680682081283e-16,7.20382337195854e-12,7.20382337195854e-12,7.20382337195854e-12,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385667e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,12,10,3.5682482323055424,34.84617414360881,480.4999999999999,8.0,4692.382812499999,78.125,0,0,0,4.692382812499999e-06,7.812499999999999e-08,10.0,9.536743164062499e-16,9.537326610794855e-16,1.1423458369995827e-11,1.9712689060247464e-11,5.897304576494734e-12,6.768128517111637e-12,1.7423087071804404e-08,3.0881617775081825e-08,2.7867773100046154e-08,1.1147109240018464e-08,2.629475003483631e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,13,18,4.787307364817192,46.751048484542885,53.0,9.499999999999998,517.578125,92.77343749999999,0,0,0,5.17578125e-07,9.277343749999999e-08,18.0,1.7166137695312496e-15,1.7167293896732941e-15,3.7209301749966615e-11,9.791532970527647e-11,1.194672150751476e-11,2.9837703785978555e-11,2.3375524242271445e-08,4.1432037960149266e-08,3.3441327720055386e-08,1.6720663860027696e-08,3.275490201415715e-08,1.4633789062499998e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,14,3556,67.2877390100027,657.1068262695576,442.9358830146232,33.212879640044996,4325.545732564679,324.3445277348144,0,0,0,4.325545732564679e-06,3.243445277348144e-07,3556.0,3.3912658691406243e-13,3.3915677483712054e-13,1.1670066658598442e-10,4.342519431081123e-10,4.0336426499323575e-12,8.89144517512097e-11,3.285534131347788e-07,5.823457623388895e-07,7.96814116699437e-07,1.8573249295165255e-07,9.709054188668923e-07,9.200550632147589e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,15,93,10.881694613449236,106.2665489594652,39.252688172043,14.263440860215054,383.32703293010746,139.29141465053763,0,0,0,3.8332703293010746e-07,1.3929141465053763e-07,93.0,8.869171142578122e-15,8.870444346353915e-15,5.3146946998064844e-11,1.3155216798717424e-10,9.077361200221656e-12,3.218210827208575e-11,5.31332744797326e-08,9.417627696282181e-08,1.8541708143608692e-07,1.9135094549879243e-08,1.9147820845576167e-07,1.9531249999999998e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,16,2,1.5957691216057308,15.583682828180965,4.0,13.499999999999996,39.0625,131.83593749999997,0,0,0,3.9062499999999997e-08,1.3183593749999998e-07,2.0,1.9073486328124996e-16,1.9082414411883912e-16,4.34906583285648e-12,4.34906583285648e-12,4.34906583285648e-12,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385697e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID093_LOC_RC021010-5.00x5.00-Z Height_Forward-251002-CRO_24ca1825.tiff,17,8,3.1915382432114616,31.16736565636193,11.999999999999998,13.499999999999996,117.18749999999999,131.83593749999997,0,0,0,1.1718749999999999e-07,1.3183593749999998e-07,8.0,7.629394531249998e-16,7.632784509412547e-16,3.354384929098778e-11,5.5890984580862666e-11,7.639098864881458e-12,1.824815946643835e-11,1.5583682828180962e-08,2.762135864009951e-08,4.458843696007385e-08,5.573554620009238e-09,3.936649291161401e-08,4.8779296875e-09
