source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID094_LOC_RC021011-5.00x5.00-Z Height_Forward-251002-CRO_48ff9293.tiff,1,1776,47.55284882580274,464.3832893144799,73.36430180180179,6.691441441441441,716.4482597832206,65.34610782657657,0,0,1,7.164482597832206e-07,6.534610782657657e-08,1776.0,1.6937255859374995e-13,1.6938147926212664e-13,1.4080920766774128e-10,4.471284172065795e-10,1.9158443966115808e-12,9.674019586450242e-11,2.3219164465723991e-07,4.1154897472081004e-07,8.617157581632715e-07,7.18918787302246e-08,1.0222191269859748e-06,7.324140314216951e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID094_LOC_RC021011-5.00x5.00-Z Height_Forward-251002-CRO_48ff9293.tiff,2,2,1.5957691216057308,15.583682828180965,213.0,0.5,2080.078125,4.8828125,0,0,0,2.080078125e-06,4.8828124999999996e-09,2.0,1.9073486328124996e-16,1.9073627925485355e-16,1.1226342163277069e-11,1.1470532298698367e-11,1.0982152027855771e-11,2.44190135421298e-13,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671386093e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID094_LOC_RC021011-5.00x5.00-Z Height_Forward-251002-CRO_48ff9293.tiff,3,22,5.292567428401227,51.68522879298074,227.68181818181816,0.6363636363636364,2223.455255681818,6.214488636363636,0,0,0,2.223455255681818e-06,6.214488636363636e-09,22.0,2.0980834960937495e-15,2.098142725844618e-15,2.532251122569502e-11,4.108209631585157e-11,6.085925376147015e-12,1.1323122800848919e-11,2.5842614396490367e-08,4.5804841404525675e-08,9.977618897680632e-08,7.781470109016356e-09,9.290255152238661e-08,9.76539204158748e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID094_LOC_RC021011-5.00x5.00-Z Height_Forward-251002-CRO_48ff9293.tiff,4,1,1.1283791670955126,11.019327803667116,246.49999999999994,0.5,2407.2265624999995,4.8828125,0,0,0,2.4072265624999997e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.537278534436586e-17,8.10407437940822e-12,8.10407437940822e-12,8.10407437940822e-12,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID094_LOC_RC021011-5.00x5.00-Z Height_Forward-251002-CRO_48ff9293.tiff,5,25,5.641895835477563,55.09663901833557,265.02,0.54,2588.0859374999995,5.2734375,0,0,0,2.5880859374999997e-06,5.2734375e-09,25.0,2.3841857910156247e-15,2.384360965942475e-15,2.7875469412986807e-11,7.149629489806793e-11,4.301355568686271e-12,2.080844360004796e-11,2.7548319509167786e-08,4.8828124999999996e-08,1.2694127926221758e-07,6.523431579540065e-09,1.1728967125364481e-07,6.100233627323881e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID094_LOC_RC021011-5.00x5.00-Z Height_Forward-251002-CRO_48ff9293.tiff,6,1,1.1283791670955126,11.019327803667116,294.49999999999994,0.5,2875.9765624999995,4.8828125,0,0,0,2.8759765624999997e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.537135543284183e-17,1.4739241658185507e-11,1.4739241658185507e-11,1.4739241658185507e-11,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID094_LOC_RC021011-5.00x5.00-Z Height_Forward-251002-CRO_48ff9293.tiff,7,21,5.170882945826411,50.496903767836045,311.49999999999994,0.5,3041.9921874999995,4.8828125,0,0,0,3.0419921874999997e-06,4.8828124999999996e-09,21.0,2.0027160644531244e-15,2.0028563364521346e-15,4.5488697123233484e-11,1.158620223393358e-10,1.0697062933328975e-11,2.8222833699109848e-11,2.524845188391802e-08,4.475171577105312e-08,1.1704464702019385e-07,5.573554620009248e-09,1.0265525410951532e-07,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID094_LOC_RC021011-5.00x5.00-Z Height_Forward-251002-CRO_48ff9293.tiff,8,22,5.292567428401227,51.68522879298074,358.0,0.5,3496.09375,4.8828125,0,0,0,3.49609375e-06,4.8828124999999996e-09,22.0,2.0980834960937495e-15,2.098556022260851e-15,7.027086509952487e-11,1.4438305820787004e-10,4.174427020578237e-12,5.012589339992852e-11,2.5842614396490367e-08,4.5804841404525675e-08,1.2261820164020307e-07,5.573554620009159e-09,1.075327907497329e-07,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID094_LOC_RC021011-5.00x5.00-Z Height_Forward-251002-CRO_48ff9293.tiff,9,1,1.1283791670955126,11.019327803667116,389.49999999999994,0.5,3803.7109374999995,4.8828125,0,0,0,3.8037109374999996e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.536751954691474e-17,1.2501116804807296e-11,1.2501116804807296e-11,1.2501116804807296e-11,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID094_LOC_RC021011-5.00x5.00-Z Height_Forward-251002-CRO_48ff9293.tiff,10,1,1.1283791670955126,11.019327803667116,396.5,0.5,3872.0703125,4.8828125,0,0,0,3.8720703125e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.536743689733529e-17,3.057002293622184e-12,3.057002293622184e-12,3.057002293622184e-12,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024737e-09,4.8779296875e-09
