source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,1,1113,37.64459607022283,367.6230084982698,9.485624438454627,27.29245283018868,92.63305115678347,266.52785966981133,0,0,1,9.263305115678346e-08,2.665278596698113e-07,1113.0,1.061439514160156e-13,1.101998902745159e-13,1.0933547416697614e-08,2.7501126367571545e-08,-1.0698056883830704e-09,7.713096634188523e-09,1.8381150424913492e-07,3.2579740854711477e-07,3.860535833560677e-07,1.0832538005941378e-07,4.308783009126184e-07,1.0384062631306559e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,2,204,16.11647812414279,157.38748168108194,79.7549019607843,3.289215686274509,778.8564644607842,32.1212469362745,0,0,0,7.788564644607842e-07,3.2121246936274505e-08,204.0,1.9454956054687494e-14,3.152803467521833e-14,1.721896423296718e-08,6.804276665360213e-08,-3.495182997392364e-10,1.5618410896588163e-08,7.869374084054098e-08,1.3948102399497753e-07,1.6820593893250578e-07,4.324785503894085e-08,2.2466284207108132e-07,4.1503906249999996e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,3,1158,38.39806496170502,374.9811031416506,112.73229706390327,19.20379965457685,1100.9013385146804,187.53710600172707,1,0,0,1.1009013385146804e-06,1.8753710600172708e-07,1158.0,1.1043548583984373e-13,1.9318078702859936e-13,2.71667571603022e-08,1.215880812357208e-07,-1.087215622270929e-09,2.4740107992060356e-08,1.8749055157082528e-07,3.3231835014010846e-07,3.833712620950508e-07,1.2156135032030714e-07,4.805055863332e-07,8.562529555571214e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,4,2,1.5957691216057308,15.583682828180965,171.0,0.5,1669.921875,4.8828125,0,0,0,1.669921875e-06,4.8828124999999996e-09,2.0,1.9073486328124996e-16,3.9021988607187603e-16,9.195066580859989e-09,9.195066580859989e-09,9.195066580859989e-09,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671385715e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,5,8,3.1915382432114616,31.16736565636193,196.62499999999997,1.3749999999999998,1920.1660156249998,13.427734374999998,0,0,0,1.9201660156249997e-06,1.3427734374999999e-08,8.0,7.629394531249998e-16,1.5937959798801432e-15,9.03310712047665e-09,1.3324039524679316e-08,3.5703553943712765e-09,3.536432072103286e-09,1.5583682828180962e-08,2.762135864009951e-08,1.754916765209374e-08,1.4283987590965517e-08,2.0716023179711558e-08,1.1440246734445752e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,6,524,25.829779740470595,252.24394277803316,248.43893129770993,7.778625954198472,2426.1614384541986,75.96314408396945,0,0,0,2.4261614384541984e-06,7.596314408396946e-08,524.0,4.9972534179687487e-14,5.0525434535329033e-14,4.402366940752686e-09,1.0005009413326901e-08,-1.0191913316539725e-09,3.024137479590851e-09,1.2612197138901658e-07,2.2354537387225773e-07,1.836335185618612e-07,9.299392526620404e-08,2.1273812372698083e-07,9.294171744224075e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,7,3,1.9544100476116797,19.08603562120781,275.49999999999994,1.4999999999999998,2690.4296874999995,14.648437499999998,0,0,0,2.6904296874999996e-06,1.4648437499999999e-08,3.0,2.8610229492187495e-16,3.497987186014245e-16,4.348898687760639e-09,4.369886502372398e-09,4.33840478045476e-09,1.4840626034260522e-11,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.5440808887540985e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,8,6200,88.84866446580955,867.6627389239213,344.1556451612903,107.91016129032258,3360.8949722782254,1053.8101688508063,0,0,0,3.360894972278225e-06,1.0538101688508063e-06,6200.0,5.912780761718749e-13,6.681940422092451e-13,1.3679930395892124e-08,5.768475603563827e-08,-1.1140957647119523e-09,1.0412901568893584e-08,4.3383136946196066e-07,7.689460814464658e-07,9.933294307367195e-07,2.58125402971522e-07,9.618144802657956e-07,1.576858419941072e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,9,11,3.742410318509555,36.54697576669488,348.2272727272727,2.7727272727272725,3400.6569602272725,27.07741477272727,0,0,0,3.4006569602272725e-06,2.707741477272727e-08,11.0,1.0490417480468747e-15,1.7069650619666593e-15,3.0901966046212055e-09,8.527319441009411e-09,-9.51019609644932e-10,3.5464614019734675e-09,1.8273487883347434e-08,3.238891396831445e-08,2.8908796497708267e-08,1.2877315704638758e-08,3.126936312531166e-08,9.76552361764887e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID096_LOC_RC021016-5.00x5.00-Z Height_Forward-251002-CRO_c78a4cad.tiff,10,7,2.985410660720923,29.154400983602766,354.35714285714283,2.357142857142857,3460.5189732142853,23.018973214285715,0,0,0,3.460518973214285e-06,2.3018973214285714e-08,7.0,6.675720214843749e-16,1.122453193857605e-15,1.6550785399372823e-09,3.4008523801351495e-09,-8.225655006875184e-10,1.363497404663335e-09,1.4577200491801383e-08,2.583741514711514e-08,1.9374266015938666e-08,1.233100999717531e-08,2.1836881262558112e-08,9.765340963137376e-09
