source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,1,19,4.918490759365935,48.03213632193296,379.34210526315786,1.763157894736842,3704.5127467105262,17.218338815789473,0,0,0,3.704512746710526e-06,1.7218338815789473e-08,19.0,1.8119812011718747e-15,1.8481732294317804e-15,1.1091205955550445e-08,1.3026012369741943e-08,8.924619775373053e-09,1.2487579339079156e-09,2.401606816096648e-08,4.2567372495514386e-08,2.875932112325918e-08,2.0857223175647797e-08,3.275504080308655e-08,1.830888331577028e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,2,9,3.385137501286538,33.057983411001345,205.38888888888886,27.166666666666664,2005.7508680555552,265.29947916666663,0,0,0,2.005750868055555e-06,2.6529947916666664e-07,9.0,8.583068847656248e-16,8.60481459160394e-16,9.112495817433415e-09,9.337589389566803e-09,8.95150254795774e-09,1.5064083880389014e-10,1.6528991705500673e-08,2.9296874999999997e-08,1.9461728874052235e-08,1.4520778360193826e-08,2.1838782441059073e-08,1.1475977104206902e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,3,240,17.480774889473267,170.71069228001238,179.72499999999997,55.391666666666666,1755.1269531249998,540.9342447916666,0,0,0,1.7551269531249998e-06,5.409342447916666e-07,240.0,2.2888183593749994e-14,2.4498645226259356e-14,1.8428392859789578e-08,2.9733347341700814e-08,9.050122013159414e-09,5.65412529268232e-09,8.535534614000618e-08,1.512884119612272e-07,1.133229210584688e-07,6.522696895104742e-08,1.1740009561357592e-07,6.321832137262561e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,4,21,5.170882945826411,50.496903767836045,305.547619047619,53.73809523809524,2983.863467261904,524.7860863095239,0,0,0,2.9838634672619043e-06,5.247860863095238e-07,21.0,2.0027160644531244e-15,2.0216040407581115e-15,9.917982619716918e-09,1.0903338308994298e-08,8.961165923376311e-09,7.006301081092284e-10,2.524845188391802e-08,4.475171577105312e-08,3.575001912191921e-08,1.8460658753575963e-08,3.7186655672072376e-08,1.5140332022167393e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,5,56,8.444016491289505,82.46109854774907,215.19642857142858,65.53571428571428,2101.5276227678573,639.9972098214286,0,0,0,2.101527622767857e-06,6.399972098214286e-07,56.0,5.340576171874999e-15,5.44897824492162e-15,1.145581450944809e-08,1.4380038364660552e-08,8.95983963595199e-09,1.6512268902540523e-09,4.123054927387453e-08,7.307924583542853e-08,5.4915216235733897e-08,3.137291402246105e-08,5.567312535501855e-08,2.9296336162863906e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,6,298,19.47884453275087,190.22309114014521,316.1744966442953,93.98322147651007,3087.641568791946,917.8048972315436,0,0,0,3.087641568791946e-06,9.178048972315436e-07,298.0,2.8419494628906243e-14,2.975442397566703e-14,1.8016296690354393e-08,2.85344464188213e-08,8.941897571833587e-09,5.8413143769502e-09,9.51115455700726e-08,1.6858082521125065e-07,1.0443324034899075e-07,8.733497170637026e-08,1.1146803194777383e-07,8.096809222541179e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,7,110,11.834540545406394,115.57168501373432,424.40909090909093,96.86363636363635,4144.620028409091,945.9339488636361,0,0,0,4.144620028409091e-06,9.459339488636362e-07,110.0,1.0490417480468748e-14,1.08690291920886e-14,1.3797764297778472e-08,1.8456323061447228e-08,9.025185094248108e-09,2.652420433894483e-09,5.7785842506867164e-08,1.0242273907911635e-07,6.504856765114114e-08,5.181317041326102e-08,7.042119675193137e-08,4.630886514188063e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,8,40,7.136496464611085,69.69234828721763,510.32499999999993,123.775,4983.642578124999,1208.740234375,0,0,0,4.983642578124999e-06,1.208740234375e-06,40.0,3.8146972656249994e-15,4.021158645643803e-15,1.3975172263209883e-08,2.04734494460384e-08,9.400632040909588e-09,2.8519090918787185e-09,3.484617414360881e-08,6.176323555016365e-08,6.225604042682093e-08,2.031647096699341e-08,6.422353548837268e-08,1.9531249999999998e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,9,428,23.34408972623798,227.96962623279276,192.46728971962614,133.09579439252335,1879.563376168224,1299.763617114486,0,0,0,1.879563376168224e-06,1.299763617114486e-06,428.0,4.081726074218749e-14,4.374236690476037e-14,2.2659547862182817e-08,3.370757390680025e-08,8.921002869776632e-09,6.735867771306407e-09,1.1398481311639639e-07,2.0203282095290233e-07,1.3860674661250434e-07,9.400831183493428e-08,1.4092694436245968e-07,9.121363955987172e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,10,16,4.51351666838205,44.07731121466846,48.68749999999999,140.31249999999997,475.46386718749994,1370.2392578124998,0,0,0,4.7546386718749995e-07,1.3702392578124999e-06,16.0,1.5258789062499997e-15,1.5429592974993106e-15,9.734199857468996e-09,1.0367342203026839e-08,9.066936917125116e-09,3.9018448578794357e-10,2.203865560733423e-08,3.9062499999999997e-08,2.573755839300936e-08,1.9587576717528234e-08,2.84730127705556e-08,1.6272505469478457e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,11,12,3.9088200952233594,38.17207124241562,202.99999999999997,152.49999999999997,1982.4218749999998,1489.2578124999998,0,0,0,1.9824218749999997e-06,1.4892578124999999e-06,12.0,1.1444091796874998e-15,1.150786602425305e-15,9.363767480647306e-09,9.997324471457229e-09,8.924253053887194e-09,3.982132073724186e-10,1.908603562120781e-08,3.382911733532963e-08,2.3894107356632896e-08,1.58908548199436e-08,2.629475003483671e-08,1.1507240902298534e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID012_LOC_RC002010-5.00x5.00-Z Height_Forward-251001-CRO_cad624d2.tiff,12,180,15.138795132120961,147.83979621211876,14.466666666666665,164.5222222222222,141.27604166666666,1606.6623263888887,0,0,0,1.4127604166666667e-07,1.6066623263888886e-06,180.0,1.7166137695312496e-14,1.8240128767702042e-14,1.656670691183107e-08,2.3992163920030283e-08,9.103684930480838e-09,4.451301172498437e-09,7.391989810605938e-08,1.3101960805662828e-07,9.139474408072382e-08,6.031275245479762e-08,9.481063701743634e-08,5.719188915579594e-08
