source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID019_LOC_RC005001-5.00x5.00-Z Height_Forward-251001-CRO_72520118.tiff,1,828,32.46909827883606,317.08103787925836,76.54589371980677,24.6195652173913,747.518493357488,240.42544157608694,0,0,0,7.475184933574879e-07,2.4042544157608693e-07,828.0,7.896423339843749e-14,8.58988262432439e-14,3.333075401986921e-08,5.04647829561294e-08,1.9753891994693482e-08,7.689848995499029e-09,1.585405189396292e-07,2.8100575331910463e-07,2.7698987270975814e-07,9.242607481616457e-08,2.795245240786259e-07,8.329077066238652e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID019_LOC_RC005001-5.00x5.00-Z Height_Forward-251001-CRO_72520118.tiff,2,470,24.462677409178383,238.89333407400764,128.62978723404257,19.023404255319146,1256.150265957447,185.77543218085106,0,0,0,1.256150265957447e-06,1.8577543218085105e-07,470.0,4.482269287109374e-14,4.6460911496996145e-14,2.7618719169734104e-08,3.893821129573758e-08,1.9760266016302226e-08,5.025740254278359e-09,1.1944666703700383e-07,2.1171370496756637e-07,1.9498224338038754e-07,7.435860699140448e-08,1.9541644733289016e-07,7.374552284395837e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID019_LOC_RC005001-5.00x5.00-Z Height_Forward-251001-CRO_72520118.tiff,3,3,1.9544100476116797,19.08603562120781,413.5,0.5,4038.0859375,4.8828125,0,0,0,4.0380859375e-06,4.8828124999999996e-09,3.0,2.8610229492187495e-16,3.0115741500359126e-16,2.120966253816448e-08,2.2064944778019305e-08,1.9777717664073506e-08,1.0189068694718335e-09,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.5440808887541955e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID019_LOC_RC005001-5.00x5.00-Z Height_Forward-251001-CRO_72520118.tiff,4,1,1.1283791670955126,11.019327803667116,497.4999999999999,0.5,4858.398437499999,4.8828125,0,0,0,4.858398437499999e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,1.0238413637827584e-16,2.1682065170534195e-08,2.1682065170534195e-08,2.1682065170534195e-08,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024737e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID019_LOC_RC005001-5.00x5.00-Z Height_Forward-251001-CRO_72520118.tiff,5,102,11.396070970426017,111.28975557056657,509.8627450980391,12.27450980392157,4979.128370098038,119.86825980392157,0,0,0,4.979128370098039e-06,1.1986825980392158e-07,102.0,9.727478027343747e-15,1.035792695826651e-14,2.6459812387818306e-08,4.384083426689707e-08,2.0000363711594245e-08,5.704166268803842e-09,5.564487778528329e-08,9.862797791369215e-08,1.5850274514581008e-07,2.7268280937412166e-08,1.6374450840876262e-07,2.4636233122680885e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID019_LOC_RC005001-5.00x5.00-Z Height_Forward-251001-CRO_72520118.tiff,6,33,6.4820448144285745,63.301218890904046,1.712121212121212,8.742424242424242,16.71993371212121,85.37523674242424,0,0,0,1.671993371212121e-08,8.537523674242424e-08,33.0,3.1471252441406244e-15,4.417847563092506e-15,3.143130165710102e-08,5.388653985598122e-08,1.9935451225592e-08,9.038627612438943e-09,3.165060944545202e-08,5.609924459509793e-08,5.511529501072709e-08,2.0484573021687042e-08,5.56729194220622e-08,1.720393268313377e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID019_LOC_RC005001-5.00x5.00-Z Height_Forward-251001-CRO_72520118.tiff,7,603,27.70854462932514,270.59125614575333,167.14344941956878,38.10033167495854,1632.2602482379764,372.073551513267,0,0,0,1.6322602482379765e-06,3.7207355151326696e-07,603.0,5.750656127929687e-14,5.826022613752066e-14,2.301435041821772e-08,3.078356967342597e-08,1.9748832519151906e-08,2.317663506398312e-09,1.3529562807287665e-07,2.398052569884507e-07,3.607733264356019e-07,5.456685031601706e-08,3.289940099341491e-07,5.646948556459352e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID019_LOC_RC005001-5.00x5.00-Z Height_Forward-251001-CRO_72520118.tiff,8,230,17.112717355495807,167.11638042476375,217.32173913043476,27.68695652173913,2122.282608695652,270.3804347826087,0,0,0,2.122282608695652e-06,2.703804347826087e-07,230.0,2.1934509277343744e-14,2.212913728203267e-14,2.158371529432773e-08,2.5579549423101507e-08,1.978562062979331e-08,1.3108667494893755e-09,8.355819021238187e-08,1.4810303601663182e-07,2.364617348538964e-07,3.3044100387832504e-08,2.162581059745372e-07,3.816165168242925e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID019_LOC_RC005001-5.00x5.00-Z Height_Forward-251001-CRO_72520118.tiff,9,33,6.4820448144285745,63.301218890904046,1.1666666666666665,33.22727272727273,11.393229166666664,324.4850852272727,0,0,0,1.1393229166666665e-08,3.244850852272727e-07,33.0,3.1471252441406244e-15,3.5714049160192536e-15,2.6071727696750975e-08,3.5389488887037516e-08,2.001515982048927e-08,4.034852608693634e-09,3.165060944545202e-08,5.609924459509793e-08,7.371039454699392e-08,1.4616604672196707e-08,7.827852296389967e-08,1.4648437499999999e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID019_LOC_RC005001-5.00x5.00-Z Height_Forward-251001-CRO_72520118.tiff,10,143,13.493452297211721,131.7719950899582,493.31118881118874,40.42307692307691,4817.492078234265,394.756610576923,0,0,0,4.817492078234265e-06,3.94756610576923e-07,143.0,1.3637542724609372e-14,1.5351822976980523e-14,2.8298975079679843e-08,4.246951433348679e-08,1.9752909060377745e-08,7.09370431210307e-09,6.58859975449791e-08,1.1677989006934958e-07,8.2124747384456e-08,5.506459500935363e-08,8.910352503828629e-08,4.5030513154124754e-08
