source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,1,1,1.1283791670955126,11.019327803667116,204.5,0.5,1997.0703125,4.8828125,0,0,0,1.9970703125e-06,4.8828124999999996e-09,1.0,9.536743164062498e-17,9.641457718914269e-17,1.3303434347178175e-08,1.3303434347178175e-08,1.3303434347178175e-08,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250365e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,2,118,12.257335203001883,119.70053909181526,409.5847457627118,2.0593220338983054,3999.8510328389825,20.11056673728814,0,0,0,3.999851032838983e-06,2.0110566737288137e-08,118.0,1.1253356933593748e-14,1.487866697951301e-14,2.6809860832446757e-08,7.342709441243732e-08,1.2837779207027744e-08,1.654853848011326e-08,5.985026954590763e-08,1.060818407343771e-07,1.656528281953289e-07,2.3796524847138216e-08,1.5746600425574175e-07,2.46578803147468e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,3,2,1.5957691216057308,15.583682828180965,439.0,0.5,4287.109375,4.8828125,0,0,0,4.287109375e-06,4.8828124999999996e-09,2.0,1.9073486328124996e-16,1.9849071668430063e-16,1.3976224957619376e-08,1.3977270637513174e-08,1.3975179277725578e-08,1.0456798937977638e-12,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671386093e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,4,563,26.77375326109316,261.4624341903629,350.36145648312606,23.672291296625218,3421.498598468028,231.17471969360565,0,0,0,3.421498598468028e-06,2.3117471969360565e-07,563.0,5.3691864013671864e-14,5.6683068119052036e-14,1.923967257243626e-08,3.19667062463166e-08,1.269701299968037e-08,4.86190157675245e-09,1.3073121709518144e-07,2.3171504917391934e-07,3.719491744846716e-07,4.994353402050289e-08,3.519021218617339e-07,5.102548869298913e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,5,6,2.763953195770684,26.991730427448086,382.66666666666663,7.333333333333331,3736.9791666666665,71.61458333333331,0,0,0,3.7369791666666666e-06,7.161458333333332e-08,6.0,5.722045898437499e-16,5.748997852502554e-16,1.3007777474015916e-08,1.3231761044503272e-08,1.2835894877524184e-08,1.6575763262094102e-10,1.3495865213724042e-08,2.392079826936697e-08,1.5798136295193246e-08,1.2237183754479675e-08,1.7955942224958197e-08,9.765340963137377e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,6,3,1.9544100476116797,19.08603562120781,386.16666666666663,13.166666666666666,3771.1588541666665,128.58072916666666,0,0,0,3.7711588541666665e-06,1.2858072916666665e-07,3.0,2.8610229492187495e-16,3.1326020773838893e-16,1.373322401484753e-08,1.3978197964969885e-08,1.3484190053442973e-08,2.0169831751323423e-10,9.543017810603905e-09,1.6914558667664815e-08,1.2065052850266379e-08,8.242000169692007e-09,1.3810691451940852e-08,5.7175417222762235e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,7,132,12.964089628857149,126.60243778180809,184.49999999999997,37.66666666666666,1801.7578124999998,367.8385416666666,0,0,0,1.8017578124999999e-06,3.678385416666666e-07,132.0,1.2588500976562498e-14,1.309203933157147e-14,1.8501526129656733e-08,2.4973541451030147e-08,1.2755200477465843e-08,3.4255418264759304e-09,6.330121889090404e-08,1.1219848919019586e-07,7.829688493224619e-08,5.175258164329063e-08,8.016056453668228e-08,4.5149849352035316e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,8,232,17.186959427966244,167.84140066373286,299.1939655172414,46.84482758620689,2921.8160695043102,457.4690193965517,0,0,0,2.92181606950431e-06,4.574690193965517e-07,232.0,2.2125244140624996e-14,2.2467040287414258e-14,1.4854345666058071e-08,1.992153247057022e-08,1.2709424941969314e-08,1.9434738327186453e-09,8.392070033186642e-08,1.4874556847390445e-07,1.5692525608530563e-07,4.9315536795361556e-08,1.7339604187067286e-07,4.390403233482987e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,9,3,1.9544100476116797,19.08603562120781,341.16666666666663,40.83333333333333,3331.7057291666665,398.7630208333333,0,0,0,3.3317057291666666e-06,3.987630208333333e-07,3.0,2.8610229492187495e-16,3.060431362387737e-16,1.2874772045691816e-08,1.315952842389592e-08,1.2732393856589764e-08,2.013531660142429e-10,9.543017810603905e-09,1.6914558667664815e-08,1.2065052850266379e-08,8.242000169692007e-09,1.3810691451941208e-08,5.7175417222762235e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID040_LOC_RC010010-5.00x5.00-Z Height_Forward-251001-CRO_11cb3cca.tiff,10,862,33.12902786925252,323.5256627856691,428.51856148491873,81.15777262180974,4184.75157700116,792.5563732598607,0,0,0,4.18475157700116e-06,7.925563732598607e-07,862.0,8.220672607421873e-14,8.44022487268384e-14,1.766113628286266e-08,2.4968658375807337e-08,1.2714113928102745e-08,2.9969290090604397e-09,1.6176283139283457e-07,2.867171534356093e-07,2.8298791737123017e-07,1.557037049014673e-07,3.1368691788653696e-07,5.9508677582659194e-08
