source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID043_LOC_RC010016-5.00x5.00-Z Height_Forward-251001-CRO_d4738654.tiff,1,46,7.653039857325812,74.73671735669738,254.8695652173913,1.7391304347826084,2488.960597826087,16.98369565217391,0,0,0,2.488960597826087e-06,1.698369565217391e-08,46.0,4.386901855468749e-15,5.131062490402958e-15,2.6318967601983148e-08,4.1798191749909045e-08,2.0678827928343085e-08,5.026355712968142e-09,3.736835867834869e-08,6.623369124145769e-08,6.91388448054875e-08,2.1222264898407234e-08,7.340610871521168e-08,1.9531249999999998e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID043_LOC_RC010016-5.00x5.00-Z Height_Forward-251001-CRO_d4738654.tiff,2,111,11.888212206450685,116.09582232861997,70.59909909909909,12.752252252252251,689.4443271396395,124.5337134009009,0,0,0,6.894443271396395e-07,1.245337134009009e-07,111.0,1.0585784912109372e-14,1.0948324396069269e-14,2.4451626438504572e-08,2.9580647902575672e-08,2.01027427358566e-08,2.9988212338829397e-09,5.804791116430998e-08,1.0288724368020251e-07,8.716957926712293e-08,4.048674260942152e-08,9.485761575513322e-08,4.2002697102078814e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID043_LOC_RC010016-5.00x5.00-Z Height_Forward-251001-CRO_d4738654.tiff,3,49,7.898654169668588,77.1352946256698,457.3979591836735,15.418367346938775,4466.776945153061,150.56999362244898,0,0,0,4.466776945153061e-06,1.5056999362244897e-07,49.0,4.673004150390624e-15,4.778384443379119e-15,2.22762277644956e-08,2.540499794599743e-08,2.0059364952649887e-08,1.6309473971883674e-09,3.85676473128349e-08,6.8359375e-08,5.3159522419249235e-08,2.867900257253575e-08,5.7321261427950315e-08,2.5303291353744618e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID043_LOC_RC010016-5.00x5.00-Z Height_Forward-251001-CRO_d4738654.tiff,4,25,5.641895835477563,55.09663901833557,156.18,17.26,1525.1953125,168.5546875,0,0,0,1.5251953125e-06,1.685546875e-07,25.0,2.3841857910156247e-15,2.458547904802758e-15,2.1359869090971757e-08,2.3244385930546776e-08,2.0031344418453238e-08,1.1057573727108698e-09,2.7548319509167786e-08,4.8828124999999996e-08,5.8777404192640995e-08,1.4036060849058724e-08,5.8797771686520724e-08,1.1472848865407955e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID043_LOC_RC010016-5.00x5.00-Z Height_Forward-251001-CRO_d4738654.tiff,5,50,7.978845608028654,77.91841414090483,193.33999999999997,19.44,1888.0859374999998,189.84375,0,0,0,1.8880859374999998e-06,1.8984375e-07,50.0,4.768371582031249e-15,5.127594192941812e-15,2.4388132038217596e-08,2.8587879929233156e-08,2.0275559391592626e-08,2.5791319204824252e-09,3.895920707045241e-08,6.905339660024878e-08,4.833297506688237e-08,3.222479717441062e-08,5.12357721687947e-08,2.771695211338753e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID043_LOC_RC010016-5.00x5.00-Z Height_Forward-251001-CRO_d4738654.tiff,6,3,1.9544100476116797,19.08603562120781,186.83333333333331,26.166666666666664,1824.5442708333333,255.53385416666666,0,0,0,1.8245442708333332e-06,2.5553385416666667e-07,3.0,2.8610229492187495e-16,2.895981271781711e-16,2.0122597467788753e-08,2.0170137104496227e-08,2.002751819437381e-08,6.723119898199716e-11,9.543017810603905e-09,1.6914558667664815e-08,1.2065052850266379e-08,8.242000169692007e-09,1.381069145194076e-08,5.7175417222762235e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID043_LOC_RC010016-5.00x5.00-Z Height_Forward-251001-CRO_d4738654.tiff,7,235,17.297725082009,168.92309650399412,53.44468085106383,43.244680851063826,521.9207114361702,422.31133643617017,0,0,0,5.219207114361702e-07,4.2231133643617014e-07,235.0,2.241134643554687e-14,2.5216945277802022e-14,2.5406258140150203e-08,4.8109053081164846e-08,2.0024399597163415e-08,6.8375661913883e-09,8.446154825199706e-08,1.4970419645269424e-07,1.9580718860607923e-07,4.625455263696254e-08,1.8357823991389865e-07,4.718515958142027e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID043_LOC_RC010016-5.00x5.00-Z Height_Forward-251001-CRO_d4738654.tiff,8,6,2.763953195770684,26.991730427448086,188.99999999999997,29.499999999999993,1845.7031249999998,288.08593749999994,0,0,0,1.8457031249999998e-06,2.8808593749999996e-07,6.0,5.722045898437499e-16,6.109576746066398e-16,2.073469352235045e-08,2.0769001739836596e-08,2.0666077087378155e-08,4.8519146469754993e-11,1.3495865213724042e-08,2.392079826936697e-08,1.6720663860027693e-08,1.1147109240018463e-08,1.760523083722663e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID043_LOC_RC010016-5.00x5.00-Z Height_Forward-251001-CRO_d4738654.tiff,9,113,11.994835078277376,117.1370613113025,36.77433628318584,35.49999999999999,359.1243777654867,346.67968749999994,0,0,0,3.591243777654867e-07,3.4667968749999996e-07,113.0,1.0776519775390622e-14,1.1023335244625371e-14,2.3998545192833568e-08,2.812969372526189e-08,2.006324541604227e-08,2.354243707860808e-09,5.856853065565124e-08,1.038100177024868e-07,6.576164879519654e-08,5.264291301799586e-08,7.054991742758421e-08,4.882746406947987e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID043_LOC_RC010016-5.00x5.00-Z Height_Forward-251001-CRO_d4738654.tiff,10,417,23.04215463350949,225.0210413428661,460.32254196642685,43.01798561151078,4495.337323890887,420.09751573741,0,0,0,4.495337323890887e-06,4.2009751573741e-07,417.0,3.9768218994140615e-14,4.1359031267775677e-14,2.5558497764703326e-08,3.135933396535894e-08,2.0047942214025334e-08,3.1143751779874867e-09,1.1251052067143305e-07,1.9941970563146617e-07,1.7169315679045444e-07,7.546372417395399e-08,1.8759421371015505e-07,7.2913069856735e-08
