source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID046_LOC_RC011001-5.00x5.00-Z Height_Forward-251001-CRO_3c1d83ba.tiff,1,8,3.1915382432114616,31.16736565636193,212.49999999999994,0.875,2075.1953124999995,8.544921875,0,0,0,2.0751953124999997e-06,8.544921875e-09,8.0,7.629394531249998e-16,8.123508159061123e-16,1.346333756531142e-08,1.6046187044946672e-08,1.1577131411401668e-08,1.7208289951035495e-09,1.5583682828180962e-08,2.762135864009951e-08,2.3921374327931664e-08,1.0715544711631298e-08,2.4897833340106107e-08,9.765392041587479e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID046_LOC_RC011001-5.00x5.00-Z Height_Forward-251001-CRO_3c1d83ba.tiff,2,331,20.529059630371258,200.4790979528443,253.5151057401812,13.345921450151055,2475.733454493957,130.3312641616314,0,0,0,2.4757334544939573e-06,1.303312641616314e-07,331.0,3.156661987304687e-14,3.2647668885336305e-14,1.8429346077247873e-08,2.3693699737650282e-08,1.1395146372381368e-08,3.583723191630532e-09,1.0023954897642214e-07,1.776699745962915e-07,1.5309929087371327e-07,6.654419844135694e-08,1.5582498707230756e-07,6.105590125950988e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID046_LOC_RC011001-5.00x5.00-Z Height_Forward-251001-CRO_3c1d83ba.tiff,3,327,20.404639941160397,199.26406192539451,354.23088685015284,37.01681957186544,3459.286004396024,361.4923786314984,0,0,0,3.459286004396024e-06,3.614923786314984e-07,327.0,3.118515014648437e-14,3.177404563763168e-14,1.6924027585969914e-08,2.1880224791150713e-08,1.1397860307230563e-08,2.8561590524257778e-09,9.963203096269725e-08,1.7659317695337034e-07,1.333084910386827e-07,7.565507710047067e-08,1.3147383129859952e-07,6.809488445737731e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID046_LOC_RC011001-5.00x5.00-Z Height_Forward-251001-CRO_3c1d83ba.tiff,4,309,19.83509564693766,193.7021059271256,137.23786407766988,50.859223300970875,1340.213516383495,496.6721025485437,0,0,0,1.340213516383495e-06,4.966721025485437e-07,309.0,2.946853637695312e-14,3.1200471442285986e-14,2.2736162772149578e-08,3.5128889665208224e-08,1.1504215500938249e-08,6.982235118925868e-09,9.685105296356279e-08,1.7166402178952094e-07,1.0064446884270513e-07,9.393796443496614e-08,1.1081736492195714e-07,8.614870805777363e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID046_LOC_RC011001-5.00x5.00-Z Height_Forward-251001-CRO_3c1d83ba.tiff,5,43,7.399277020331919,72.2585646516789,163.7325581395349,47.01162790697674,1598.9507630813953,459.0979287790697,0,0,0,1.5989507630813953e-06,4.590979287790697e-07,43.0,4.100799560546874e-15,4.128934564393343e-15,1.2446188170849859e-08,1.3302637649943354e-08,1.1384893904968399e-08,5.747768557896282e-10,3.612928232583944e-08,6.403748558888672e-08,4.363934393621236e-08,3.060006993108629e-08,4.66080155449089e-08,2.5304953837624422e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID046_LOC_RC011001-5.00x5.00-Z Height_Forward-251001-CRO_3c1d83ba.tiff,6,438,23.615226456547084,230.6174458647176,381.50228310502285,59.76712328767123,3725.6082334474886,583.6633133561644,0,0,0,3.7256082334474884e-06,5.836633133561644e-07,438.0,4.177093505859374e-14,4.299346822059151e-14,1.9098251479735245e-08,2.706842416653302e-08,1.1381344473756183e-08,4.292993390891017e-09,1.153087229323588e-07,2.0437939000445652e-07,1.3941915909304554e-07,9.738137711336098e-08,1.487544493054799e-07,8.557180189528602e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID046_LOC_RC011001-5.00x5.00-Z Height_Forward-251001-CRO_3c1d83ba.tiff,7,107,11.67204486311899,113.98481311639638,267.99532710280374,67.8644859813084,2617.1418662383176,662.7391209112149,0,0,0,2.6171418662383177e-06,6.627391209112148e-07,107.0,1.0204315185546873e-14,1.0356309779202278e-14,1.4159324909671155e-08,1.7631398161561687e-08,1.1404460832871271e-08,1.927515832353341e-09,5.6992406558198195e-08,1.0101641047645116e-07,6.277486670947528e-08,5.3209912491640974e-08,7.019044052167105e-08,4.380096886713168e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID046_LOC_RC011001-5.00x5.00-Z Height_Forward-251001-CRO_3c1d83ba.tiff,8,767,31.25019569237719,305.177692308371,344.106258148631,80.00977835723599,3360.4126772327245,781.3454917698826,0,0,0,3.3604126772327246e-06,7.813454917698826e-07,767.0,7.314682006835935e-14,7.530820029478922e-14,2.0744989069740026e-08,2.998663790071166e-08,1.1381581217791232e-08,5.021236451346242e-09,1.525888461541855e-07,2.704566879712154e-07,1.8508719476088272e-07,1.286861352324026e-07,1.9543509757149854e-07,1.1573196423931919e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID046_LOC_RC011001-5.00x5.00-Z Height_Forward-251001-CRO_3c1d83ba.tiff,9,31,6.282549314314218,61.353020647599784,510.5322580645161,91.88709677419354,4985.66658266129,897.3349294354838,0,0,0,4.98566658266129e-06,8.973349294354838e-07,31.0,2.9563903808593743e-15,2.9973746952980336e-15,1.3715075058336904e-08,1.5804405530054846e-08,1.1476505311917562e-08,1.267322308571878e-09,3.067651032379989e-08,5.437269885576193e-08,5.452120058003972e-08,1.8434266983926932e-08,5.879763752212426e-08,1.627250546947846e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID046_LOC_RC011001-5.00x5.00-Z Height_Forward-251001-CRO_3c1d83ba.tiff,10,7,2.985410660720923,29.154400983602766,264.5,100.21428571428571,2583.0078125,978.6551339285713,0,0,0,2.5830078124999998e-06,9.786551339285713e-07,7.0,6.675720214843749e-16,6.736091187627579e-16,1.191503901906058e-08,1.2294519361873293e-08,1.1678513797240523e-08,2.4956574116535494e-10,1.4577200491801383e-08,2.583741514711514e-08,1.5433050861521587e-08,1.4438975288980882e-08,1.8557542726222874e-08,1.0374839927411348e-08
