source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,1,235,17.297725082009,168.92309650399412,428.4234042553191,10.793617021276596,4183.822307180851,105.40641622340425,0,0,0,4.183822307180851e-06,1.0540641622340425e-07,235.0,2.241134643554687e-14,2.2748369514722995e-14,2.1117060450882218e-08,2.566528356332202e-08,1.6683412974946592e-08,2.466951453506189e-09,8.446154825199706e-08,1.4970419645269424e-07,1.1092872673239961e-07,6.609359935784602e-08,1.1577259250845584e-07,6.041223297256793e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,2,538,26.17255958188877,255.59140216688252,478.03345724907064,50.979553903345725,4668.295480947955,497.8472060873606,0,0,0,4.668295480947955e-06,4.978472060873606e-07,538.0,5.1307678222656236e-14,6.899625041284933e-14,2.8971772959133274e-08,6.864664250002969e-08,1.6702581404641274e-08,1.137300501742289e-08,1.2779570108344123e-07,2.2651198251451563e-07,3.0218232626256903e-07,7.833901180549731e-08,3.1514197014740406e-07,4.630820674550812e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,3,523,25.805121233904135,252.00313704984507,114.91491395793497,78.38718929254303,1122.2159566204587,765.4998954349904,0,0,0,1.1222159566204587e-06,7.654998954349904e-07,523.0,4.987716674804686e-14,5.698100374804225e-14,3.786870693967196e-08,6.050952945873276e-08,1.6927663071831755e-08,1.1936595190262496e-08,1.2600156852492253e-07,2.2333196535213418e-07,1.5861563389100602e-07,1.0116549164990382e-07,1.641380734384821e-07,9.358920451513539e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,4,66,9.166995688475081,89.52144227026447,441.030303030303,75.4090909090909,4306.936553030303,736.4169034090909,0,0,0,4.306936553030303e-06,7.364169034090908e-07,66.0,6.294250488281249e-15,6.387189717953535e-15,1.8579675011008454e-08,2.0988553012063887e-08,1.682254969449617e-08,1.2813966914290702e-09,4.476072113513223e-08,7.933631254527304e-08,5.381225664729898e-08,3.753682377966369e-08,5.5673201649716734e-08,3.417959445012634e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,5,70,9.440697438826296,92.19431092603806,8.542857142857143,103.8142857142857,83.42633928571428,1013.8113839285713,0,0,0,8.342633928571428e-08,1.0138113839285713e-06,70.0,6.675720214843748e-15,6.739784205894218e-15,1.847512218200459e-08,2.0332152987691118e-08,1.6730559488237223e-08,1.0702113943765115e-09,4.6097155463019025e-08,8.17050807162183e-08,6.263719516225578e-08,3.4385071036930073e-08,6.783574774606475e-08,2.978823301344004e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,6,1115,37.67840352748118,367.9531594480584,86.80134529147982,122.604932735426,847.6693876121076,1197.3137962443946,1,1,0,8.476693876121076e-07,1.1973137962443944e-06,1115.0,1.0633468627929685e-13,1.1020448213969924e-13,2.5195237140655318e-08,3.718228274213758e-08,1.674406004525904e-08,5.0289510252167995e-09,1.839765797240292e-07,3.2608999720828124e-07,2.439501044654795e-07,1.4173910103558832e-07,2.529792116511897e-07,1.1513938242067404e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,7,10,3.5682482323055424,34.84617414360881,288.29999999999995,129.4,2815.4296874999995,1263.671875,0,0,0,2.8154296874999997e-06,1.263671875e-06,10.0,9.536743164062499e-16,9.64130214499861e-16,1.7142713509487004e-08,1.7747814294485402e-08,1.6700275808970267e-08,3.5801014328370436e-10,1.7423087071804404e-08,3.0881617775081825e-08,2.7072918152178737e-08,1.325808338397163e-08,2.8474076111280517e-08,6.905339660024878e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,8,2,1.5957691216057308,15.583682828180965,284.5,130.0,2778.3203125,1269.53125,0,0,0,2.7783203125e-06,1.26953125e-06,2.0,1.9073486328124996e-16,1.9819999603008288e-16,1.7100904602291603e-08,1.7125463408036515e-08,1.7076345796546688e-08,2.4558805744913486e-11,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.0918300671386005e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,9,26,5.753627391751592,56.18776749757414,310.92307692307685,139.5,3036.3581730769224,1362.3046875,0,0,0,3.0363581730769225e-06,1.3623046875e-06,26.0,2.4795532226562493e-15,2.5629789348407435e-15,1.8225478881089693e-08,2.0378315275043132e-08,1.6870544817785766e-08,1.065692080155727e-09,2.809388374878707e-08,4.979511243742953e-08,3.968525861374562e-08,2.0346191854017373e-08,4.2012658825817906e-08,1.7734967728898217e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID047_LOC_RC011002-5.00x5.00-Z Height_Forward-251001-CRO_ff9dc949.tiff,10,4,2.256758334191025,22.03865560733423,289.24999999999994,138.24999999999997,2824.7070312499995,1350.0976562499998,0,0,0,2.8247070312499997e-06,1.3500976562499998e-06,4.0,3.814697265624999e-16,3.8187524226946233e-16,1.6812567973192854e-08,1.6839532668602334e-08,1.675984762405139e-08,3.2538771459705024e-11,1.1019327803667115e-08,1.9531249999999998e-08,1.6668816216201414e-08,8.334408108100707e-09,1.7605834430534432e-08,5.7175417222762235e-09
