source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,1,1501,43.71650210901461,426.91896590834585,229.62724850099934,55.78047968021318,2242.4535986425717,544.7312468770818,1,1,0,2.2424535986425716e-06,5.447312468770819e-07,1501.0,1.431465148925781e-13,1.6674411467939597e-13,2.215719833053645e-08,6.379536805800948e-08,1.2432610092194723e-08,1.0021642169359636e-08,2.134594829541729e-07,3.7834708257442413e-07,4.108191192990042e-07,1.397588362319098e-07,4.373099228724975e-07,5.915527385765846e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,2,475,24.592453796829673,240.16068160966478,192.4284210526316,37.80105263157894,1879.1837993421054,369.1509046052631,0,0,0,1.8791837993421053e-06,3.691509046052631e-07,475.0,4.5299530029296864e-14,4.736839192327763e-14,1.627737865067298e-08,2.6158375575805002e-08,1.2458868589746892e-08,2.9380158861496197e-09,1.2008034080483238e-07,2.1283686247757194e-07,2.2387789174537503e-07,7.540217206265233e-08,2.416968524850978e-07,6.757710979932688e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,3,11,3.742410318509555,36.54697576669488,226.13636363636363,14.318181818181818,2208.3629261363635,139.8259943181818,0,0,0,2.2083629261363633e-06,1.3982599431818181e-07,11.0,1.0490417480468747e-15,1.24601456066499e-15,1.4192552491376825e-08,1.4943808424767326e-08,1.28891718792974e-08,7.83992188847632e-10,1.8273487883347434e-08,3.238891396831445e-08,3.361311996159963e-08,1.055171887379429e-08,3.452802806929641e-08,9.765392041587482e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,4,5,2.5231325220201604,24.63996603535313,200.7,17.9,1959.9609374999998,174.80468749999997,0,0,0,1.9599609374999997e-06,1.7480468749999996e-07,5.0,4.768371582031249e-16,4.785273174639725e-16,1.2635077677410603e-08,1.2720297117064893e-08,1.2438574259431911e-08,1.0341951378278058e-10,1.2319983017676562e-08,2.183660134277138e-08,1.5744181678063112e-08,1.0138007891221913e-08,1.7605850401453473e-08,9.76199246787011e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,5,248,17.769732893161912,173.5325477847843,242.83870967741936,33.717741935483865,2371.4717741935483,329.27482358870964,0,0,0,2.3714717741935483e-06,3.2927482358870967e-07,248.0,2.3651123046874994e-14,3.504159486830575e-14,3.2111436210255675e-08,7.013741127951073e-08,1.2698154618458302e-08,1.5809511809591573e-08,8.676627389239214e-08,1.5378921628929316e-07,1.010129494605638e-07,7.826974639609694e-08,1.2073400499602098e-07,6.35710049421805e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,6,2,1.5957691216057308,15.583682828180965,488.0,24.5,4765.625,239.2578125,0,0,0,4.765625e-06,2.392578125e-07,2.0,1.9073486328124996e-16,1.917649702358276e-16,1.2647640506628575e-08,1.2779260265381194e-08,1.2516020747875956e-08,1.3161975875261926e-10,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.09183006713861e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,7,2,1.5957691216057308,15.583682828180965,226.0,27.499999999999993,2207.03125,268.55468749999994,0,0,0,2.20703125e-06,2.6855468749999996e-07,2.0,1.9073486328124996e-16,2.0205833049055525e-16,1.2431958637431225e-08,1.2431958637431225e-08,1.2431958637431225e-08,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.091830067138572e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,8,15,4.370193722368317,42.677673070003095,166.69999999999996,38.233333333333334,1627.9296874999995,373.3723958333333,0,0,0,1.6279296874999997e-06,3.733723958333333e-07,15.0,1.4305114746093746e-15,1.8266181389682224e-15,1.4255325500745178e-08,1.6405100235076722e-08,1.270434378473818e-08,1.1626674786544876e-09,2.1338836535001545e-08,3.78221029903068e-08,3.340720152312698e-08,1.5345712530690783e-08,3.7187155046943526e-08,1.1440397700177812e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,9,3847,69.98680253159284,683.4648684725863,189.8805562776189,110.69729659474916,1854.3023073986221,1081.0282870580972,0,0,0,1.8543023073986222e-06,1.0810282870580973e-06,3847.0,3.6687850952148427e-13,4.291236856523414e-13,2.6982988153306915e-08,8.525232239068432e-08,1.2424475537452816e-08,1.3984762196915804e-08,3.4173243423629315e-07,6.057049690414338e-07,4.939987726551537e-07,3.357289476398586e-07,6.288014077398898e-07,1.2544226259603182e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID057_LOC_RC012006-5.00x5.00-Z Height_Forward-251001-CRO_80e384e2.tiff,10,3,1.9544100476116797,19.08603562120781,218.5,74.49999999999999,2133.7890625,727.5390624999999,0,0,0,2.1337890625e-06,7.275390624999999e-07,3.0,2.8610229492187495e-16,3.681837078686588e-16,1.4352470637312087e-08,1.5030371995982863e-08,1.3393990040194689e-08,6.968883258661304e-10,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.544080888754102e-08,4.8779296875e-09
