source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,1,130,12.865501965161373,125.63966762852904,124.7076923076923,6.246153846153845,1217.8485576923076,60.997596153846146,0,0,0,1.2178485576923076e-06,6.099759615384615e-08,130.0,1.2397766113281247e-14,1.3003708089227012e-14,2.8447575603286952e-08,3.298590415425362e-08,2.3817909381873723e-08,2.552599677098073e-09,6.281983381426452e-08,1.1134525635733768e-07,7.774149625162152e-08,5.359097547148765e-08,9.003686205352944e-08,4.57758695664099e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,2,96,11.055812783082736,107.96692170979235,420.44791666666663,5.447916666666666,4105.936686197916,53.202311197916664,0,0,0,4.105936686197916e-06,5.3202311197916665e-08,96.0,9.155273437499998e-15,1.0456847715120474e-14,3.4053886464567454e-08,4.7827485433844645e-08,2.385357881744847e-08,5.828047083504602e-09,5.398346085489617e-08,9.568319307746788e-08,6.3050644335977e-08,4.7049693047915025e-08,6.877225610332425e-08,4.394452814216951e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,3,456,24.095585330081406,235.30845048907622,460.5285087719298,11.359649122807015,4497.348718475877,110.93407346491226,0,0,0,4.497348718475877e-06,1.1093407346491226e-07,456.0,4.348754882812499e-14,4.8415020955050495e-14,3.616576013043995e-08,4.7422987059665444e-08,2.3924701123479905e-08,6.433440825728919e-09,1.176542252445381e-07,2.0853668460998652e-07,1.3311035469011675e-07,1.115608399923322e-07,1.566855251406983e-07,6.958443622544792e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,4,48,7.817640190446719,76.34414248483124,23.14583333333333,11.020833333333332,226.0335286458333,107.62532552083333,0,0,0,2.260335286458333e-07,1.0762532552083333e-07,48.0,4.577636718749999e-15,4.662873606358051e-15,2.5729316258250535e-08,2.749198437952374e-08,2.3859936599950137e-08,1.0331595354321879e-09,3.817207124241562e-08,6.765823467065926e-08,5.0936933871314586e-08,2.9646352279630523e-08,5.4593132768282686e-08,2.6315104465665774e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,5,741,30.71596494738128,299.9605951892703,272.47435897435895,33.2800269905533,2660.882411858974,325.00026357962207,0,0,0,2.660882411858974e-06,3.2500026357962206e-07,741.0,7.066726684570311e-14,9.32448449728575e-14,3.5447702338673854e-08,6.108498443232373e-08,2.3794714173124433e-08,8.226025346754887e-09,1.4998029759463517e-07,2.658331560315664e-07,2.1997136668567204e-07,1.1462544094695284e-07,2.507560076275688e-07,7.617127813927256e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,6,180,15.138795132120961,147.83979621211876,380.81666666666666,33.133333333333326,3718.9127604166665,323.56770833333326,0,0,0,3.7189127604166663e-06,3.235677083333333e-07,180.0,1.7166137695312496e-14,2.4001772476240328e-14,3.807555649291837e-08,6.152077945892134e-08,2.3966266564234643e-08,1.0761251374683218e-08,7.391989810605938e-08,1.3101960805662828e-07,1.7331084039792712e-07,3.731617917803102e-08,1.8406345118917278e-07,3.092953892983214e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,7,69,9.373021315815206,91.53341128725788,314.5289855072464,22.891304347826082,3071.572124094203,223.5478940217391,0,0,0,3.071572124094203e-06,2.235478940217391e-07,69.0,6.580352783203123e-15,7.348758769289207e-15,2.825537880161313e-08,3.3881506550479824e-08,2.3983640060775358e-08,2.854213118525174e-09,4.5766705643628934e-08,8.111937366130932e-08,7.048826739020998e-08,3.2741318383793637e-08,7.369462341620205e-08,2.5132315136848387e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,8,100,11.283791670955125,110.19327803667115,295.92,24.769999999999992,2889.84375,241.89453124999994,0,0,0,2.88984375e-06,2.4189453124999995e-07,100.0,9.536743164062499e-15,1.2768203388986893e-14,3.260012519053338e-08,4.183968511893444e-08,2.458409460888151e-08,4.961335568800767e-09,5.509663901833557e-08,9.765624999999999e-08,9.337237247992041e-08,3.440243494404414e-08,9.765959909844555e-08,2.9296403041906306e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,9,14,4.222008245644752,41.23054927387454,396.99999999999994,21.499999999999996,3876.9531249999995,209.96093749999997,0,0,0,3.876953125e-06,2.0996093749999997e-07,14.0,1.3351440429687497e-15,1.6433412891073942e-15,2.6380671259372478e-08,2.8353956786919432e-08,2.4572249388317675e-08,1.4518588844389748e-09,2.0615274636937265e-08,3.653962291771427e-08,3.901488234006462e-08,1.114710924001846e-08,3.554741156875269e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID062_LOC_RC012020-5.00x5.00-Z Height_Forward-251001-CRO_d6b551aa.tiff,10,23,5.4115163798060095,52.84683964654306,324.0652173913044,22.804347826086957,3164.6993885869565,222.69870923913044,0,0,0,3.1646993885869564e-06,2.2269870923913043e-07,23.0,2.1934509277343745e-15,3.510592455338489e-15,3.1721931985896355e-08,3.961642840520928e-08,2.6891264786255293e-08,4.323970856345671e-09,2.642341982327153e-08,4.683429221985077e-08,4.2502427122937925e-08,1.7365165694988806e-08,4.606658104703393e-08,1.4648437499999999e-08
