source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,1,4,2.256758334191025,22.03865560733423,65.25,1.75,637.20703125,17.08984375,0,0,0,6.3720703125e-07,1.708984375e-08,4.0,3.814697265624999e-16,3.842183715129064e-16,1.2036210240139962e-08,1.2044136613375228e-08,1.2028283866904692e-08,7.926373235268143e-12,1.1019327803667115e-08,1.9531249999999998e-08,1.6668816216201414e-08,8.334408108100707e-09,1.7605834430534802e-08,5.717541722276225e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,2,27,5.863230142835039,57.258106863623425,90.98148148148147,1.3148148148148149,888.4910300925925,12.839988425925926,0,0,0,8.884910300925925e-07,1.2839988425925926e-08,27.0,2.5749206542968744e-15,2.6816380944478556e-15,1.510910193776637e-08,1.8968865256066897e-08,1.22962218555542e-08,2.2263825037214276e-09,2.8629053431811714e-08,5.0743676002994444e-08,5.491244156145044e-08,1.5501333747265054e-08,5.46041494368568e-08,1.4648437499999999e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,3,103,11.451797811161432,111.83396299962337,388.39320388349506,4.257281553398058,3792.9023816747567,41.57501516990291,0,0,0,3.792902381674757e-06,4.157501516990291e-08,103.0,9.822845458984373e-15,9.97913436462294e-15,1.570683796661828e-08,1.8627358698286895e-08,1.204521586620252e-08,1.955070472237301e-09,5.591698149981168e-08,9.911026919035369e-08,7.992290620172644e-08,3.988016364358004e-08,8.734689297851382e-08,3.767440436491535e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,4,41,7.225151993843567,70.55812493987858,2.8170731707317067,7.841463414634146,27.510480182926823,76.57679115853658,0,0,0,2.7510480182926824e-08,7.657679115853658e-08,41.0,3.9100646972656245e-15,4.098168591619693e-15,1.5092147250143217e-08,1.7821134100214395e-08,1.2088246381534915e-08,1.887743680179299e-09,3.5279062469939287e-08,6.253051013118015e-08,4.3774033943343226e-08,2.9744689121857815e-08,5.2816125768794775e-08,2.8602281672959898e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,5,343,20.897874625046462,204.08080688521935,349.25218658892123,16.49416909620991,3410.665884657434,161.0758700801749,0,0,0,3.410665884657434e-06,1.610758700801749e-07,343.0,3.2711029052734365e-14,3.344093989482197e-14,1.7853467809088734e-08,2.4662145637268165e-08,1.2007863016174422e-08,3.526737716963827e-09,1.0204040344260967e-07,1.8086190602980598e-07,1.3429428146164358e-07,8.005379121254564e-08,1.4850609484746635e-07,7.342747967887317e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,6,27,5.863230142835039,57.258106863623425,29.018518518518515,15.240740740740739,283.3839699074074,148.83535879629628,0,0,0,2.833839699074074e-07,1.4883535879629628e-07,27.0,2.5749206542968744e-15,2.6106005090207516e-15,1.284286491335422e-08,1.4383391734442469e-08,1.2059953006100125e-08,8.240857262888707e-10,2.8629053431811714e-08,5.0743676002994444e-08,3.34949118804033e-08,2.5241253270941278e-08,3.756702668986907e-08,2.2274686399011425e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,7,104,11.507254783503184,112.37553499514829,7.413461538461537,22.009615384615383,72.39708533653845,214.93765024038458,0,0,0,7.239708533653846e-08,2.1493765024038458e-07,104.0,9.918212890624997e-15,1.0095191024264237e-14,1.4415792296087278e-08,1.8341116514470914e-08,1.2003746580863906e-08,1.6810661649392242e-09,5.618776749757414e-08,9.959022487485906e-08,8.299215106523526e-08,4.235755801720197e-08,8.2338228220704e-08,3.459333567030225e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,8,10,3.5682482323055424,34.84617414360881,25.399999999999995,18.9,248.04687499999994,184.57031249999997,0,0,0,2.4804687499999994e-07,1.8457031249999996e-07,10.0,9.536743164062499e-16,9.647016607693157e-16,1.2418094243604994e-08,1.3699237828717119e-08,1.2092417279732999e-08,4.713568394411655e-10,1.7423087071804404e-08,3.0881617775081825e-08,2.4097637781062225e-08,1.6389533518264987e-08,2.847184951458644e-08,5.717541722276225e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,9,11,3.742410318509555,36.54697576669488,311.40909090909093,17.681818181818183,3041.104403409091,172.6740056818182,0,0,0,3.041104403409091e-06,1.7267400568181818e-07,11.0,1.0490417480468747e-15,1.1362033400365635e-15,1.2716855951212501e-08,1.331113642628372e-08,1.2336749776432112e-08,3.511545365262448e-10,1.8273487883347434e-08,3.238891396831445e-08,2.7705315040464524e-08,1.2751724620672002e-08,2.847182948356958e-08,9.76552361764887e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID064_LOC_RC014004-5.00x5.00-Z Height_Forward-251001-CRO_99d3f356.tiff,10,218,16.66031874701878,162.69842526385528,309.24311926605503,31.6743119266055,3019.9523365825685,309.31945240825684,0,0,0,3.0199523365825683e-06,3.0931945240825685e-07,218.0,2.0790100097656247e-14,2.0996527523286264e-14,1.4261113890075888e-08,1.834818975396655e-08,1.2005452048305673e-08,1.5247748564332944e-09,8.134921263192764e-08,1.441877251975918e-07,1.384908455082883e-07,5.477404887462325e-08,1.4493854434640996e-07,4.206625051590218e-08
