source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,1,3,1.9544100476116797,19.08603562120781,137.5,0.5,1342.7734375,4.8828125,0,0,0,1.3427734375e-06,4.8828124999999996e-09,3.0,2.8610229492187495e-16,2.8614965444572684e-16,2.6247756668043966e-10,2.812515774057139e-10,2.450656962493035e-10,1.480419013662799e-11,9.543017810603905e-09,1.6914558667664815e-08,1.6720663860027693e-08,5.573554620009231e-09,1.544080888754115e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,2,16,4.51351666838205,44.07731121466846,155.0,0.5,1513.671875,4.8828125,0,0,0,1.513671875e-06,4.8828124999999996e-09,16.0,1.5258789062499997e-15,1.5260991688814454e-15,2.824110791056325e-10,3.3504382348614915e-10,2.4448642954086954e-10,2.8585555895455465e-11,2.203865560733423e-08,3.9062499999999997e-08,8.91768739201477e-08,5.573554620009218e-09,7.827743916934297e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,3,561,26.726155439876237,260.99761171754136,234.60873440285204,3.316399286987522,2291.100921902852,32.38671178698752,0,0,0,2.291100921902852e-06,3.238671178698752e-08,561.0,5.350112915039061e-14,5.350625670596478e-14,3.5515336702884027e-10,6.876203940464658e-10,2.2872977900619393e-10,1.0690816953499653e-10,1.304988058587707e-07,2.313031109829494e-07,5.90630643913813e-07,3.1847885907226604e-08,6.790208103561807e-07,3.417890314216951e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,4,4,2.256758334191025,22.03865560733423,11.999999999999998,7.5,117.18749999999999,73.2421875,0,0,0,1.1718749999999999e-07,7.32421875e-08,4.0,3.814697265624999e-16,3.815772203435324e-16,2.538090549413707e-10,2.7257853930324345e-10,2.3380569554120855e-10,1.748370238084538e-11,1.1019327803667115e-08,1.9531249999999998e-08,2.2294218480036925e-08,5.5735546200092305e-09,2.0132351687586232e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,5,2,1.5957691216057308,15.583682828180965,18.999999999999996,7.5,185.54687499999997,73.2421875,0,0,0,1.8554687499999998e-07,7.32421875e-08,2.0,1.9073486328124996e-16,1.907930621291322e-16,2.3203170722082539e-10,2.343922663287446e-10,2.2967114811290618e-10,2.3605591079192027e-12,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.091830067138569e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,6,18,4.787307364817192,46.751048484542885,32.5,8.999999999999998,317.3828125,87.89062499999999,0,0,0,3.173828125e-07,8.789062499999999e-08,18.0,1.7166137695312496e-15,1.7168564847855455e-15,2.603239582601589e-10,2.6853467375517336e-10,2.3742345803079636e-10,1.1514507463745047e-11,2.3375524242271445e-08,4.1432037960149266e-08,5.016199158008308e-08,1.1147109240018473e-08,4.5017306920375436e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,7,13,4.068428945128219,39.73075141726777,308.49999999999994,8.499999999999998,3012.6953124999995,83.00781249999999,0,0,0,3.0126953124999996e-06,8.300781249999999e-08,13.0,1.2397766113281247e-15,1.2399258916327468e-15,2.6498542673953055e-10,2.9436098912590695e-10,2.3161709294392477e-10,2.3665019487895622e-11,1.986537570863388e-08,3.5210461674453015e-08,7.245621006012001e-08,5.573554620009268e-09,6.366408598830707e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,8,6,2.763953195770684,26.991730427448086,322.0,8.499999999999998,3144.53125,83.00781249999999,0,0,0,3.1445312499999998e-06,8.300781249999999e-08,6.0,5.722045898437499e-16,5.722917650141788e-16,2.7805170166786935e-10,3.0058851615726434e-10,2.307142341419464e-10,2.7497981705450613e-11,1.3495865213724042e-08,2.392079826936697e-08,3.3441327720055386e-08,5.573554620009231e-09,2.970098891747227e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,9,30,6.180387232371033,60.35534406612337,16.999999999999996,14.5,166.01562499999997,141.6015625,0,0,0,1.6601562499999999e-07,1.416015625e-07,30.0,2.861022949218749e-15,2.863432297852522e-15,3.4349103074135655e-10,4.3505476972540914e-10,2.3130684392196943e-10,5.1049172894098595e-11,3.017767203306168e-08,5.3488531006363874e-08,1.6720663860027696e-07,5.573554620009346e-09,1.4656573261526985e-07,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID072_LOC_RC016012-5.00x5.00-Z Height_Forward-251002-CRO_53d11bbb.tiff,10,12,3.9088200952233594,38.17207124241562,39.99999999999999,14.5,390.62499999999994,141.6015625,0,0,0,3.9062499999999997e-07,1.416015625e-07,12.0,1.1444091796874998e-15,1.1451626015102647e-15,2.5941917183070496e-10,2.8754371589081864e-10,2.342460750227666e-10,1.8150193684792532e-11,1.908603562120781e-08,3.382911733532963e-08,6.688265544011077e-08,5.573554620009218e-09,5.879684852925925e-08,4.8779296875e-09
