source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,1,12,3.9088200952233594,38.17207124241562,221.24999999999994,2.2499999999999996,2160.6445312499995,21.972656249999996,0,0,0,2.1606445312499996e-06,2.1972656249999998e-08,12.0,1.1444091796874998e-15,1.198336712756568e-15,3.022590812912916e-08,3.1646752216515934e-08,2.7983673503683205e-08,1.273305088485338e-09,1.908603562120781e-08,3.382911733532963e-08,2.7856619296291338e-08,1.3928309648145667e-08,2.8473238587137172e-08,1.1440397700177812e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,2,447,23.85661494212072,232.97475529414768,340.748322147651,10.616331096196866,3327.620333473154,103.67510836129752,0,0,0,3.327620333473154e-06,1.0367510836129752e-07,447.0,4.2629241943359365e-14,6.06706522104768e-14,5.73221044793344e-08,9.77086211390705e-08,2.800328135886334e-08,1.7918068137651116e-08,1.1648737764707383e-07,2.0646850109244114e-07,1.2234709253548933e-07,1.1246553444100278e-07,1.4441398369458327e-07,1.0230431059006087e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,3,301,19.576646877473273,191.17819216282493,377.7890365448505,17.62956810631229,3689.3460600083054,172.16375103820596,0,0,0,3.6893460600083054e-06,1.7216375103820595e-07,301.0,2.870559692382812e-14,3.4238007770234795e-14,4.229730213221901e-08,7.313638386884168e-08,2.7849943572168247e-08,1.2229250982613288e-08,9.558909608141245e-08,1.6942726145407686e-07,1.1104019467671057e-07,8.550581160880636e-08,1.1683127044243373e-07,6.942039125739817e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,4,767,31.25019569237719,305.177692308371,279.5925684485006,35.80769230769231,2730.3961762548884,349.6844951923077,0,0,0,2.7303961762548886e-06,3.4968449519230765e-07,767.0,7.314682006835935e-14,8.776525988260544e-14,4.777712766108945e-08,6.751911857623277e-08,2.8312039580042886e-08,1.0422961215821177e-08,1.525888461541855e-07,2.704566879712154e-07,1.7744791783672168e-07,1.324905797222934e-07,1.879147788173022e-07,9.987243254096968e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,5,504,25.332049473868512,247.38329564324718,448.8849206349206,38.55555555555556,4383.641803075397,376.51909722222223,0,0,0,4.383641803075397e-06,3.765190972222222e-07,504.0,4.806518554687499e-14,5.53305427724915e-14,3.637008387912292e-08,5.2924748432312684e-08,2.786960535101658e-08,5.742998916691267e-09,1.2369164782162358e-07,2.1923773750628561e-07,2.116845742707934e-07,9.61640226297191e-08,2.5207867137566744e-07,5.816850740445637e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,6,537,26.148224328293928,255.3537532059954,418.3230912476722,33.935754189944134,4085.186437965549,331.4038495111732,0,0,0,4.085186437965549e-06,3.3140384951117316e-07,537.0,5.1212310791015617e-14,5.661331465730165e-14,4.1159569044497676e-08,5.7590016283406484e-08,2.7872649024499288e-08,7.503212572320452e-09,1.2767687660299769e-07,2.263013716065716e-07,1.379390024894588e-07,1.2580594751767348e-07,1.6872214316391576e-07,9.307574670269195e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,7,1,1.1283791670955126,11.019327803667116,293.49999999999994,31.499999999999993,2866.2109374999995,307.61718749999994,0,0,0,2.8662109374999997e-06,3.0761718749999996e-07,1.0,9.536743164062498e-17,1.4433480787901992e-16,3.243371699172739e-08,3.243371699172739e-08,3.243371699172739e-08,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.9053396600250456e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,8,795,31.815490536285218,310.6981497684103,407.90754716981127,67.9566037735849,3983.4721403301883,663.6387087264151,0,0,0,3.983472140330188e-06,6.63638708726415e-07,795.0,7.581710815429685e-14,1.1725233690612622e-13,6.457185437936747e-08,1.0648581700668411e-07,2.792694607345909e-08,2.3133803896290584e-08,1.5534907488420517e-07,2.753490660131188e-07,1.7947772171478176e-07,1.458953064044691e-07,2.163548166339256e-07,1.1491564396030588e-07
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,9,159,14.228319915326999,138.94843667311522,372.26729559748424,54.74528301886793,3635.422808569182,534.6219044811321,0,0,0,3.635422808569182e-06,5.346219044811321e-07,159.0,1.5163421630859372e-14,1.811779808869238e-14,3.990994634953313e-08,6.14797053606369e-08,2.7880629172111497e-08,9.313830797886491e-09,6.94742183365576e-08,1.2313984582928212e-07,7.825083786381453e-08,6.575830913640181e-08,9.799646399932418e-08,5.2535769213886894e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,10,184,15.306079714651624,149.47343471339477,335.03260869565213,56.02173913043478,3271.802819293478,547.0872961956521,0,0,0,3.271802819293478e-06,5.470872961956521e-07,184.0,1.7547607421874996e-14,1.842630549921651e-14,3.446948752081437e-08,4.149935905975547e-08,2.8099296081682796e-08,3.923732142098786e-09,7.473671735669737e-08,1.3246738248291537e-07,8.259125788107038e-08,6.918879602558648e-08,9.269493909542129e-08,5.9423575958169854e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,11,181,15.180789096653193,148.24989352200384,81.20718232044199,60.046961325966834,793.0388898480662,586.3961066988949,0,0,0,7.930388898480662e-07,5.863961066988949e-07,181.0,1.7261505126953122e-14,1.979922673233884e-14,3.812043886363805e-08,5.0726485443682375e-08,2.787291405986148e-08,6.7863694669797985e-09,7.412494676100191e-08,1.3138304733470419e-07,1.117381835307967e-07,5.0375573473193944e-08,1.1390759791855715e-07,4.529405681813349e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,12,402,22.623931952327283,220.93683547194613,34.20398009950249,103.60199004975124,334.02324315920396,1011.7381840796019,0,0,0,3.3402324315920395e-07,1.0117381840796018e-06,402.0,3.833770751953124e-14,4.055335981240118e-14,3.5053946942243434e-08,4.631520355502953e-08,2.7873556434426185e-08,5.172152292944053e-09,1.1046841773597307e-07,1.9580017241956462e-07,2.5900925552538345e-07,5.213713127557817e-08,2.5140686075919335e-07,5.3923022641153e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,13,6,2.763953195770684,26.991730427448086,37.99999999999999,76.5,371.09374999999994,747.0703125,0,0,0,3.7109374999999997e-07,7.470703125e-07,6.0,5.722045898437499e-16,5.848637806522401e-16,2.8328115816847867e-08,2.8791441304540685e-08,2.7870705944433227e-08,3.0432656193683255e-10,1.3495865213724042e-08,2.392079826936697e-08,1.6720663860027693e-08,1.1147109240018463e-08,1.7605230837226528e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,14,181,15.180789096653193,148.24989352200384,342.67127071823205,84.65469613259667,3346.3991281077347,826.7060169198894,0,0,0,3.3463991281077346e-06,8.267060169198894e-07,181.0,1.7261505126953122e-14,2.1372694080206696e-14,4.241435839387815e-08,5.5932158424556536e-08,2.813794262456027e-08,7.637588078303774e-09,7.412494676100191e-08,1.3138304733470419e-07,8.670023381878593e-08,6.440944167968109e-08,9.304189676021845e-08,5.8969548530549224e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,15,2,1.5957691216057308,15.583682828180965,39.49999999999999,79.99999999999999,385.74218749999994,781.2499999999999,0,0,0,3.8574218749999995e-07,7.812499999999999e-07,2.0,1.9073486328124996e-16,2.095919211395077e-16,2.8410363598955414e-08,2.8410363598955414e-08,2.8410363598955414e-08,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.091830067138572e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,16,14,4.222008245644752,41.23054927387454,67.99999999999999,104.49999999999999,664.0624999999999,1020.5078124999999,0,0,0,6.640624999999999e-07,1.0205078125e-06,14.0,1.3351440429687497e-15,6.6742765246803195e-15,3.72267101810375e-08,3.868667952617835e-08,3.163631010113819e-08,2.0878871545219444e-09,2.0615274636937265e-08,3.653962291771427e-08,7.802976468012924e-08,5.573554620009218e-09,6.85335392950107e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,17,271,18.575465448360347,181.40102976914403,374.7656826568265,132.76937269372692,3659.8211196955717,1296.575905212177,0,0,0,3.6598211196955718e-06,1.296575905212177e-06,271.0,2.584457397460937e-14,4.2112339407205845e-14,5.133078129109918e-08,9.56067589861616e-08,2.7881325246830388e-08,2.0977035111775713e-08,9.0700514884572e-08,1.6076247688627273e-07,1.1466659222148096e-07,7.457201235255808e-08,1.247947016547917e-07,5.7384648729281194e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,18,97,11.11324596323283,108.5277926096956,448.3247422680411,127.94329896907215,4378.171311211339,1249.4462789948452,0,0,0,4.3781713112113395e-06,1.2494462789948453e-06,97.0,9.250640869140623e-15,9.584886453054898e-15,3.124705520143599e-08,3.598218390933941e-08,2.7858681048471532e-08,2.2453500870477445e-09,5.42638963048478e-08,9.618025197066507e-08,6.38719061034094e-08,4.658935929453923e-08,6.940501405767344e-08,4.036260163897788e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,19,1,1.1283791670955126,11.019327803667116,455.5,125.49999999999997,4448.2421875,1225.5859374999998,0,0,0,4.4482421875e-06,1.2255859374999998e-06,1.0,9.536743164062498e-17,9.790701928965227e-17,2.9325350204194767e-08,2.9325350204194767e-08,2.9325350204194767e-08,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660025346e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,20,230,17.112717355495807,167.11638042476375,44.20869565217391,141.49999999999997,431.7255434782608,1381.8359374999998,0,0,0,4.3172554347826084e-07,1.3818359374999998e-06,230.0,2.1934509277343744e-14,2.3659289810968024e-14,3.5304713114431685e-08,4.479402026835321e-08,2.7957608379424596e-08,4.505629368745607e-09,8.355819021238187e-08,1.4810303601663182e-07,1.0754536950090679e-07,6.705927795997598e-08,1.1502021084127064e-07,5.957722787136182e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,21,5,2.5231325220201604,24.63996603535313,67.29999999999998,133.9,657.2265624999999,1307.6171875,0,0,0,6.572265624999999e-07,1.3076171875e-06,5.0,4.768371582031249e-16,5.402610629716212e-16,2.837751317093168e-08,2.903647561325831e-08,2.8212772560350023e-08,3.294812211633151e-10,1.2319983017676562e-08,2.183660134277138e-08,1.5744181678063112e-08,1.0138007891221913e-08,1.760585040145381e-08,9.76199246787011e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,22,57,8.51907589177983,83.19410050566239,223.64035087719293,138.74561403508773,2183.9878015350873,1354.9376370614036,0,0,0,2.1839878015350875e-06,1.3549376370614035e-06,57.0,5.435943603515624e-15,5.610869105316242e-15,3.172485406446808e-08,3.513050542848226e-08,2.7896892351283112e-08,1.8665382381489436e-09,4.159705025283119e-08,7.372885190694091e-08,4.868326007594999e-08,3.585115119250713e-08,5.123369395925462e-08,3.417959445012634e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,23,1,1.1283791670955126,11.019327803667116,34.5,136.5,336.9140625,1333.0078125,0,0,0,3.369140625e-07,1.3330078125e-06,1.0,9.536743164062498e-17,1.8083380075079043e-16,3.0888581645793875e-08,3.0888581645793875e-08,3.0888581645793875e-08,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024896e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,24,32,6.383076486422923,62.33473131272386,72.4375,139.18749999999997,707.3974609375,1359.2529296874998,0,0,0,7.073974609375e-07,1.3592529296874999e-06,32.0,3.0517578124999993e-15,3.6697131887144625e-15,3.163770800519554e-08,3.9485583801682125e-08,2.8274551778885936e-08,3.205549372905151e-09,3.1167365656361924e-08,5.524271728019902e-08,4.034972352775145e-08,2.6569484705758254e-08,4.4015517585757327e-08,1.7203932683133777e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,25,2,1.5957691216057308,15.583682828180965,35.49999999999999,138.0,346.67968749999994,1347.65625,0,0,0,3.4667968749999996e-07,1.34765625e-06,2.0,1.9073486328124996e-16,3.3134215730588907e-16,2.9399326989571945e-08,2.9399326989571945e-08,2.9399326989571945e-08,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.091830067138591e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,26,3,1.9544100476116797,19.08603562120781,428.8333333333332,138.16666666666666,4187.825520833332,1349.2838541666665,0,0,0,4.187825520833332e-06,1.3492838541666665e-06,3.0,2.8610229492187495e-16,4.2200436472072653e-16,2.950460591487573e-08,3.030327709608721e-08,2.910527032426999e-08,5.647458081729072e-10,9.543017810603905e-09,1.6914558667664815e-08,1.2065052850266379e-08,8.242000169692007e-09,1.3810691451941433e-08,5.7175417222762235e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,27,2,1.5957691216057308,15.583682828180965,58.999999999999986,139.5,576.1718749999999,1362.3046875,0,0,0,5.761718749999999e-07,1.3623046875e-06,2.0,1.9073486328124996e-16,2.4268545839824627e-16,2.879544866856432e-08,2.879544866856432e-08,2.879544866856432e-08,0.0,7.791841414090481e-09,1.3810679320049755e-08,1.1147109240018463e-08,5.5735546200092305e-09,1.091830067138572e-08,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,28,1,1.1283791670955126,11.019327803667116,59.499999999999986,141.49999999999997,581.0546874999999,1381.8359374999998,0,0,0,5.810546874999999e-07,1.3818359374999998e-06,1.0,9.536743164062498e-17,1.1069726890252018e-16,2.879544866856432e-08,2.879544866856432e-08,2.879544866856432e-08,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024896e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,29,3,1.9544100476116797,19.08603562120781,441.16666666666663,143.83333333333331,4308.268229166666,1404.6223958333333,0,0,0,4.308268229166666e-06,1.4046223958333333e-06,3.0,2.8610229492187495e-16,3.119275469765146e-16,2.820081551351873e-08,2.8831850917121286e-08,2.788529781171745e-08,4.4620941305615785e-10,9.543017810603905e-09,1.6914558667664815e-08,1.2065052850266379e-08,8.242000169692007e-09,1.3810691451941284e-08,5.7175417222762235e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,30,1,1.1283791670955126,11.019327803667116,440.4999999999999,145.5,4301.757812499999,1420.8984375,0,0,0,4.301757812499999e-06,1.4208984375e-06,1.0,9.536743164062498e-17,1.1603162682294367e-16,2.9160102350016543e-08,2.9160102350016543e-08,2.9160102350016543e-08,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660025346e-09,4.8779296875e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID080_LOC_RC017017-5.00x5.00-Z Height_Forward-251002-CRO_63fa9701.tiff,31,1,1.1283791670955126,11.019327803667116,458.5,145.5,4477.5390625,1420.8984375,0,0,0,4.4775390625e-06,1.4208984375e-06,1.0,9.536743164062498e-17,1.7645120920613702e-16,3.348887589252493e-08,3.348887589252493e-08,3.348887589252493e-08,0.0,5.509663901833557e-09,9.765624999999999e-09,5.573554620009231e-09,5.573554620009231e-09,6.905339660024747e-09,4.8779296875e-09
