source_file,grain_id,area_px,diameter_px,diameter_nm,center_x_px,center_y_px,center_x_nm,center_y_nm,kept,isolated,edge_excluded,grain_center_x,grain_center_y,grain_pixel_area,grain_projected_area,grain_surface_area,grain_mean,grain_max,grain_min,grain_rms,grain_equiv_disc_radius,grain_equiv_square_side,grain_equiv_ellipse_major,grain_equiv_ellipse_minor,grain_circumcircle_r,grain_inscribed_disc_r
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,1,179,15.09668435477122,147.4285581520627,112.71787709497207,4.885474860335195,1100.7605185055866,47.70971543296089,0,0,0,1.1007605185055866e-06,4.770971543296089e-08,179.0,1.707077026367187e-14,2.100854849930629e-14,5.8252185117041855e-08,7.777364625517102e-08,4.501480451327069e-08,9.03785549509496e-09,7.371427907603135e-08,1.3065515781503566e-07,1.0174277151682769e-07,5.5459508496778785e-08,1.034655105871175e-07,4.882738684646559e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,2,433,23.480049464818542,229.29735805486857,168.20669745958426,27.78637413394919,1642.6435298787526,271.35130990184757,0,0,0,1.6426435298787526e-06,2.7135130990184756e-07,433.0,4.1294097900390616e-14,4.6579586093558254e-14,5.947118483787381e-08,8.205284480229581e-08,4.488528772171572e-08,1.0628062394622346e-08,1.1464867902743428e-07,2.0320949264340635e-07,1.7482527490957388e-07,8.123655143728836e-08,1.9549978969783267e-07,7.43958754392709e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,3,75,9.772050238058398,95.43017810603904,205.85999999999999,56.46,2010.3515624999998,551.3671875,0,0,0,2.0103515625e-06,5.513671875e-07,75.0,7.152557373046873e-15,7.436452891308722e-15,4.884327619763527e-08,5.267530194526147e-08,4.4895652575626374e-08,2.1743513679358946e-09,4.7715089053019524e-08,8.457279333832407e-08,6.586510366843523e-08,3.484991148588794e-08,6.783439754591775e-08,3.145696431188331e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,4,185,15.347615963921077,149.87906214766676,221.29459459459457,78.92702702702702,2161.0800253378375,770.7717483108107,0,0,0,2.1610800253378376e-06,7.707717483108107e-07,185.0,1.7642974853515622e-14,2.2209419893449215e-14,5.6697133210549e-08,7.721118653508279e-08,4.4896002028966185e-08,8.959009544787763e-09,7.493953107383339e-08,1.3282686043686955e-07,1.3428663696140513e-07,4.3103414831253536e-08,1.3750846819395476e-07,4.211884108307138e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,5,4,2.256758334191025,22.03865560733423,247.99999999999994,74.0,2421.8749999999995,722.65625,0,0,0,2.4218749999999996e-06,7.2265625e-07,4.0,3.814697265624999e-16,3.980465309006542e-16,4.5109770298260124e-08,4.520754762042793e-08,4.501199297609232e-08,9.777732216780723e-11,1.1019327803667115e-08,1.9531249999999998e-08,1.1147109240018463e-08,1.1147109240018463e-08,1.3810679320049792e-08,9.755859375e-09
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,6,351,21.14017691983778,206.44704023279084,319.3433048433048,89.3119658119658,3118.5869613603986,872.1871661324785,0,0,0,3.1185869613603987e-06,8.721871661324785e-07,351.0,3.3473968505859366e-14,4.0323806468383936e-14,5.583619611862878e-08,8.53584741219673e-08,4.489411598485185e-08,9.758167553146344e-09,1.0322352011639542e-07,1.8295892573432805e-07,2.104516650224904e-07,6.316727646142629e-08,2.1683281563824365e-07,4.6531644180632186e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,7,323,20.279456919490165,198.04157147939614,186.88390092879257,96.56811145510837,1825.03809500774,943.0479634287926,0,0,0,1.8250380950077399e-06,9.430479634287926e-07,323.0,3.0803680419921867e-14,6.593104279715802e-14,1.0105927016491173e-07,1.622341111915936e-07,4.5423016157656205e-08,3.6161395385973385e-08,9.902078573969807e-08,1.7550977300401783e-07,1.3493394866099927e-07,7.39392021827862e-08,1.4369123440957554e-07,7.263113008108144e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,8,136,13.159049284959082,128.50634067342853,245.3455882352941,104.52205882352939,2395.9530101102937,1020.7232306985293,0,0,0,2.395953010110294e-06,1.0207232306985292e-06,136.0,1.2969970703124998e-14,1.4207948879120936e-14,5.090944054520716e-08,6.078787286992313e-08,4.4913136083393296e-08,4.182781774511665e-09,6.425317033671427e-08,1.1388577919619726e-07,1.1203630597678624e-07,3.75314906814511e-08,1.1241122587666468e-07,3.4383868822703285e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,9,196,15.797308339337176,154.2705892513396,87.55102040816325,112.02551020408163,854.9904336734693,1093.9991230867347,0,0,0,8.549904336734693e-07,1.0939991230867346e-06,196.0,1.8692016601562497e-14,2.3682846932759852e-14,5.908022497070588e-08,8.008985416399839e-08,4.526654337281092e-08,9.801781716704466e-09,7.71352946256698e-08,1.3671875e-07,1.0836857517623662e-07,5.952239029200548e-08,1.0973253956074735e-07,5.3352412787716725e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,10,586,27.315167457198672,266.7496821992058,275.1092150170648,124.47781569965868,2686.6134279010234,1215.6036689419793,0,0,0,2.6866134279010236e-06,1.2156036689419794e-06,586.0,5.588531494140624e-14,7.199170212492692e-14,6.406078779416402e-08,9.009990787906919e-08,4.488421083733732e-08,1.2937061802957834e-08,1.333748410996029e-07,2.364007507209024e-07,2.072183987270992e-07,9.615174793496673e-08,2.4492101382212104e-07,7.746727157130916e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,11,108,11.726460285670077,114.51621372724685,315.47222222222223,142.59259259259258,3080.7834201388887,1392.505787037037,0,0,0,3.0807834201388886e-06,1.3925057870370369e-06,108.0,1.0299682617187498e-14,1.1300416262545465e-14,5.148877031443208e-08,5.937038608781498e-08,4.5059408382531386e-08,4.173659303201658e-09,5.725810686362343e-08,1.0148735200598889e-07,8.866933660308228e-08,3.7787092885095077e-08,9.121954128586882e-08,3.548230569248612e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,12,12,3.9088200952233594,38.17207124241562,248.66666666666666,146.58333333333331,2428.3854166666665,1431.4778645833333,0,0,0,2.4283854166666665e-06,1.4314778645833333e-06,12.0,1.1444091796874998e-15,1.469707455713171e-15,4.946382431830258e-08,5.3515665486605436e-08,4.521983819898307e-08,2.9000504371794022e-09,1.908603562120781e-08,3.382911733532963e-08,2.4267073499449356e-08,1.5372413914916215e-08,2.6296039611663944e-08,1.464769877856246e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,13,21,5.170882945826411,50.496903767836045,300.547619047619,148.07142857142856,2935.035342261904,1446.010044642857,0,0,0,2.9350353422619042e-06,1.4460100446428572e-06,21.0,2.0027160644531244e-15,3.4458919898046687e-15,5.0710323764132644e-08,5.497911737982819e-08,4.554664005193344e-08,2.8865314667794807e-09,2.524845188391802e-08,4.475171577105312e-08,4.950328115681953e-08,1.3472883758730351e-08,4.8091758997229015e-08,1.1472848865407966e-08
PEGDA01TPO10SiNPSam02_S2_P__GrID090_LOC_RC021002-5.00x5.00-Z Height_Forward-251002-CRO_738fddb8.tiff,14,844,32.78130832893156,320.12996414972224,349.35663507109007,170.595971563981,3411.6858893661138,1665.976284804502,0,0,0,3.4116858893661137e-06,1.6659762848045021e-06,844.0,8.049011230468748e-14,1.2644161036976863e-13,7.024096928790254e-08,1.0707286450217316e-07,4.4935922205120365e-08,1.678107301723102e-08,1.600649820748611e-07,2.837077938737099e-07,2.609445822353889e-07,1.2564774256557542e-07,3.188281443113222e-07,6.993609984695206e-08
