source_file,particle_id,diameter_px,diameter_nm,center_x_nm,center_y_nm,center_x_px,center_y_px,kept,isolated
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,1,23.534213434057992,229.82630306697257,3383.3176185344823,504.8154633620689,346.45172413793097,51.693103448275856,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,2,9.373021315815206,91.53341128725788,1041.02977807971,1128.637341485507,106.6014492753623,115.57246376811592,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,3,13.110581167104948,128.03301921000926,4894.422743055556,1298.8642939814813,501.1888888888889,133.00370370370368,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,4,3.742410318509555,36.54697576669488,4399.414062499999,1284.1796875,450.4999999999999,131.5,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,5,11.834540545406394,115.57168501373432,3122.0703124999995,1433.5049715909088,319.69999999999993,146.79090909090905,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,6,3.385137501286538,33.057983411001345,4500.325520833332,1537.0008680555554,460.8333333333332,157.38888888888889,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,7,6.770275002573076,66.11596682200269,4543.999565972222,1622.4500868055554,465.3055555555555,166.13888888888889,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,8,2.763953195770684,26.991730427448086,4301.757812499999,1718.7499999999998,440.4999999999999,175.99999999999997,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,9,2.763953195770684,26.991730427448086,3227.5390625,1816.40625,330.5,186.0,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,10,24.069150231250354,235.05029522705425,4560.8151614010985,2000.8907108516482,467.02747252747247,204.89120879120878,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,11,3.1915382432114616,31.16736565636193,3193.359375,1923.828125,327.0,197.0,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,12,9.772050238058398,95.43017810603904,3436.1328124999995,2111.653645833333,351.85999999999996,216.2333333333333,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,13,38.54699143520717,376.435463234445,3978.4210649635816,2174.023102774207,407.39031705227075,222.6199657240788,1,1
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,14,28.54598585844434,278.7693931488705,2815.414428710937,2259.7808837890625,288.2984375,231.4015625,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,15,7.569397566060481,73.91989810605938,3331.7057291666665,2286.7838541666665,341.16666666666663,234.16666666666666,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,16,4.918490759365935,48.03213632193296,1365.3885690789473,2290.0390625,139.8157894736842,234.5,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,17,16.622063085174787,162.32483481616003,3533.60365063364,2364.068800403226,361.8410138248847,242.08064516129033,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,18,7.136496464611085,69.69234828721763,4971.19140625,2307.6171875,509.05,236.3,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,19,12.047792665040703,117.65422524453811,4002.107319078947,2544.2023026315787,409.81578947368416,260.52631578947364,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,20,4.370193722368317,42.677673070003095,4801.106770833332,2695.6380208333335,491.6333333333332,276.03333333333336,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,21,7.136496464611085,69.69234828721763,4821.777343749999,2869.873046875,493.7499999999999,293.875,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,22,12.412170838050638,121.21260584033827,2882.1910511363635,2968.5482308884293,295.1363636363636,303.97933884297515,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,23,39.702273944726784,387.7175189914725,3402.6734778877217,3119.3125883481416,348.4337641357027,319.4176090468497,1,1
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,24,29.683021493047715,289.8732567680441,2530.820989884393,3375.7733471820807,259.15606936416185,345.67919075144505,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,25,19.44613444328572,189.90365667271212,3481.313788930976,3427.8165772306393,356.48653198653193,351.00841750841744,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,26,12.565098628628435,122.70604129519957,1822.4703881048385,3754.3315272177415,186.62096774193546,384.4435483870967,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,27,4.652426491681278,45.43385245782498,2481.3304227941176,3775.562959558823,254.08823529411765,386.6176470588235,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,28,43.07098810892469,420.61511825121767,2466.4369477093337,4108.214787448524,252.56314344543577,420.6811942347288,1,1
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,29,38.79393176615336,378.84698990384135,1159.1350729695432,4382.0722292724195,118.69543147208122,448.72419627749576,1,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,30,33.32063749403756,325.39685052771057,3088.5468929185777,4293.616058629587,316.26720183486236,439.66628440366975,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,31,8.214724333230155,80.22191731670073,3380.2881780660373,4272.092423349056,346.1415094339622,437.4622641509433,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,32,8.812923024107548,86.06370140730027,258.3087858606557,4264.616419057376,26.450819672131143,436.69672131147536,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,33,20.806283791440396,203.18636515078512,615.3205422794117,4291.503906249999,63.00882352941176,439.44999999999993,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,34,9.166995688475081,89.52144227026447,1818.6257102272725,4290.956439393939,186.22727272727272,439.3939393939394,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,35,2.763953195770684,26.991730427448086,3657.2265624999995,4257.812499999999,374.49999999999994,435.9999999999999,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,36,55.117597496063794,538.257788047498,1786.2662405699914,4715.0696772841575,182.91366303436712,482.82313495389775,1,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,37,3.385137501286538,33.057983411001345,4994.032118055555,4480.794270833333,511.3888888888888,458.8333333333333,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,38,4.787307364817192,46.751048484542885,201.28038194444443,4546.440972222222,20.61111111111111,465.5555555555555,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,39,10.403141895720198,101.59318257539256,77.95266544117646,4629.997702205882,7.98235294117647,474.1117647058823,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,40,3.385137501286538,33.057983411001345,351.0199652777777,4644.639756944443,35.944444444444436,475.61111111111103,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,41,5.170882945826411,50.496903767836045,379.696800595238,4692.847842261905,38.88095238095237,480.54761904761904,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,42,16.66031874701878,162.69842526385528,242.39356364678895,4820.903813073393,24.82110091743119,493.6605504587155,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,43,2.763953195770684,26.991730427448086,1245.1171874999998,4824.21875,127.49999999999997,494.0,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,44,2.256758334191025,22.03865560733423,1289.0625,4824.21875,132.0,494.0,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,45,7.817640190446719,76.34414248483124,816.8538411458333,4838.2568359375,83.64583333333333,495.4375,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,46,7.569397566060481,73.91989810605938,464.73524305555554,4981.879340277777,47.58888888888889,510.1444444444444,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,47,5.753627391751592,56.18776749757414,171.6496394230769,4986.478365384615,17.576923076923077,510.6153846153846,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,48,7.817640190446719,76.34414248483124,949.0966796874999,4988.606770833333,97.18749999999999,510.8333333333333,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID049_LOC_RC011010-5.00x5.00-Z Height_Forward-251001-CRO_16d44c03.tiff,49,2.985410660720923,29.154400983602766,1215.8203124999998,4995.1171875,124.49999999999997,511.5,0,0
