source_file,particle_id,diameter_px,diameter_nm,center_x_nm,center_y_nm,center_x_px,center_y_px,kept,isolated
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,1,7.48482063701911,73.09395153338976,997.869318181818,21.972656249999996,102.18181818181816,2.2499999999999996,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,2,12.6156626101008,123.19983017676563,4115.585937499999,233.71093749999994,421.4359999999999,23.931999999999995,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,3,3.5682482323055424,34.84617414360881,2702.1484374999995,317.3828125,276.69999999999993,32.5,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,4,8.884866446580956,86.76627389239215,3792.527721774193,347.93976814516134,388.3548387096774,35.62903225806452,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,5,8.444016491289505,82.46109854774907,4332.798549107143,334.2982700892856,443.67857142857144,34.23214285714285,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,6,3.385137501286538,33.057983411001345,525.7161458333333,370.5512152777777,53.83333333333333,37.944444444444436,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,7,16.195287778099022,158.15710720799825,680.5597694174758,486.5272299757282,69.68932038834951,49.820388349514566,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,8,15.797308339337176,154.2705892513396,4852.768255739796,504.474250637755,496.92346938775506,51.658163265306115,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,9,9.440697438826296,92.19431092603806,1116.4899553571427,610.3515624999999,114.32857142857141,62.499999999999986,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,10,18.77997214831907,183.39816551092844,2881.335317012635,1016.206706904332,295.04873646209387,104.0595667870036,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,11,11.11324596323283,108.5277926096956,2225.606072809278,1110.5126449742268,227.90206185567007,113.71649484536081,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,12,16.312788383647018,159.3045740590529,3594.334068480861,1169.0948340311004,368.0598086124402,119.71531100478468,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,13,17.26088217525478,168.56330249272244,4528.996394230769,1134.7322382478633,463.7692307692307,116.1965811965812,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,14,7.046725639945928,68.81568007759695,4112.204527243589,1160.9825721153845,421.08974358974353,118.88461538461537,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,15,1.1283791670955126,11.019327803667116,3666.9921874999995,1108.3984375,375.49999999999994,113.5,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,16,8.51907589177983,83.19410050566239,2025.5105537280701,1157.3978892543857,207.41228070175438,118.5175438596491,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,17,1.5957691216057308,15.583682828180965,4047.8515624999995,1191.40625,414.49999999999994,122.0,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,18,1.5957691216057308,15.583682828180965,1162.1093749999998,1196.2890625,118.99999999999997,122.5,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,19,6.4820448144285745,63.301218890904046,4868.459990530303,1389.2341382575758,498.530303030303,142.25757575757575,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,20,5.4115163798060095,52.84683964654306,1722.7836277173913,1427.267323369565,176.41304347826087,146.15217391304347,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,21,8.812923024107548,86.06370140730027,140.4809170081967,1451.3159579918033,14.385245901639344,148.61475409836066,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,22,18.948708441878455,185.0459808777193,1934.4941267730496,1572.8543328900707,198.09219858156027,161.06028368794324,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,23,1.5957691216057308,15.583682828180965,1250.0,1479.4921874999998,128.0,151.49999999999997,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,24,12.463355264843006,121.71245375823248,1480.9330174180325,1652.4718237704917,151.64754098360652,169.21311475409834,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,25,8.593479713983122,83.92070033186643,2836.9140624999995,1676.825161637931,290.49999999999994,171.70689655172413,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,26,14.27299292922217,139.38469657443525,2009.0332031249995,1745.4833984375,205.72499999999997,178.7375,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,27,4.652426491681278,45.43385245782498,2435.948988970588,1854.0326286764703,249.4411764705882,189.85294117647055,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,28,26.366433043273013,257.48469768821303,2716.9363839285716,2442.9444253663005,278.2142857142857,250.15750915750917,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,29,8.214724333230155,80.22191731670073,3291.660524764151,2559.9756780660373,337.0660377358491,262.1415094339622,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,30,1.5957691216057308,15.583682828180965,844.7265624999999,2539.0625,86.49999999999999,260.0,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,31,21.409489393833255,209.07704486165287,1039.7135416666667,2629.5301649305557,106.46666666666667,269.2638888888889,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,32,4.787307364817192,46.751048484542885,4506.835937499999,2546.1154513888887,461.4999999999999,260.72222222222223,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,33,12.100518486599809,118.16912584570126,391.6015625,2722.9534646739125,40.1,278.8304347826086,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,34,7.225151993843567,70.55812493987858,137.55240091463415,2718.5356326219508,14.085365853658537,278.37804878048775,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,35,20.404639941160397,199.26406192539451,2726.7148079128438,2854.7131832951072,279.2155963302752,292.322629969419,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,36,1.9544100476116797,19.08603562120781,4.8828125,2807.6171875,0.5,287.5,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,37,11.834540545406394,115.57168501373432,3318.8920454545455,2888.405539772727,339.8545454545455,295.77272727272725,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,38,11.340070282773887,110.74287385521374,3161.1134746287125,3061.9101949257424,323.69801980198014,313.53960396039605,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,39,5.4115163798060095,52.84683964654306,3055.1545516304345,3042.8413722826085,312.8478260869565,311.5869565217391,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,40,18.81384047546846,183.72891089324668,274.0698066546762,3369.8431879496397,28.064748201438842,345.0719424460431,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,41,20.090219901261573,196.19355372325754,3455.4755274053623,3468.4450167586747,353.8406940063091,355.16876971608826,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,42,8.058239062071396,78.69374084054097,745.3469669117646,3441.042432598039,76.3235294117647,352.36274509803917,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,43,17.407785949022028,169.99790965841825,1376.665900735294,3484.9740677521004,140.9705882352941,356.86134453781506,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,44,5.863230142835039,57.258106863623425,272.17158564814815,3442.021122685185,27.87037037037037,352.462962962963,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,45,15.512648837479231,151.4907113035081,1866.3452794312168,3505.678530092592,191.1137566137566,358.9814814814814,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,46,15.389040103942165,150.2835947650602,2208.396337365591,3547.2845262096776,226.13978494623652,363.241935483871,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,47,29.076297180076903,283.9482146491885,2879.1239175451806,3687.8470914909635,294.8222891566265,377.63554216867465,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,48,4.222008245644752,41.23054927387454,1979.6316964285713,3514.2299107142853,202.7142857142857,359.85714285714283,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,49,12.360774464742066,120.71068813224674,3259.6842447916665,3604.329427083333,333.79166666666663,369.0833333333333,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,50,3.1915382432114616,31.16736565636193,2031.2499999999998,3583.9843749999995,207.99999999999997,366.99999999999994,0,0
PEGDA01TPO10SiNPSam02_S2_P__GrID052_LOC_RC011016-5.00x5.00-Z Height_Forward-251001-CRO_c5229d0d.tiff,51,3.1915382432114616,31.16736565636193,3769.5312499999995,3583.9843749999995,385.99999999999994,366.99999999999994,0,0
